atom_count,record_count,percent_of_profiled_records,contains_target
0,124577619,99.99064927493876,false
1,10027,0.008048044651421785,true
2,1079,0.0008660456945132249,true
3,196,0.0001573169194852568,true
4,130,0.00010434285476062952,true
5,97,0.00007785582239831586,true
6,36,0.00002889494439525125,true
7,16,0.000012842197509000554,true
8,22,0.000017658021574875762,true
9,8,6.421098754500277e-6,true
10,12,9.631648131750416e-6,true
11,3,2.407912032937604e-6,true
12,6,4.815824065875208e-6,true
14,4,3.2105493772501384e-6,true
15,4,3.2105493772501384e-6,true
16,1,8.026373443125346e-7,true
18,1,8.026373443125346e-7,true
20,3,2.407912032937604e-6,true
28,1,8.026373443125346e-7,true
51,2,1.6052746886250692e-6,true
65,1,8.026373443125346e-7,true
93,1,8.026373443125346e-7,true
