atom_count,record_count,percent_of_profiled_records,contains_target
0,124581551,99.9938052449766,false
1,6034,0.004843113735581834,true
2,905,0.0007263867966028439,true
3,197,0.00015811955682956932,true
4,348,0.00027931779582076205,true
5,78,0.0000626057128563777,true
6,91,0.00007303999833244064,true
7,8,6.421098754500277e-6,true
8,35,0.00002809230705093871,true
9,3,2.407912032937604e-6,true
10,3,2.407912032937604e-6,true
12,9,7.223736098812812e-6,true
13,2,1.6052746886250692e-6,true
15,1,8.026373443125346e-7,true
20,1,8.026373443125346e-7,true
24,3,2.407912032937604e-6,true
