atom_count,record_count,percent_of_profiled_records,contains_target
0,124542105,99.96214441229284,false
1,39097,0.03138071225058717,true
2,4454,0.003574946731568029,true
3,1110,0.0008909274521869135,true
4,1436,0.0011525872264327999,true
5,381,0.00030580482818307574,true
6,309,0.00024801493939257324,true
7,80,0.00006421098754500277,true
8,158,0.00012681670040138048,true
9,34,0.00002728966970662618,true
10,40,0.00003210549377250139,true
11,12,9.631648131750416e-6,true
12,10,8.026373443125347e-6,true
13,6,4.815824065875208e-6,true
14,1,8.026373443125346e-7,true
16,2,1.6052746886250692e-6,true
17,1,8.026373443125346e-7,true
18,12,9.631648131750416e-6,true
19,1,8.026373443125346e-7,true
20,2,1.6052746886250692e-6,true
22,3,2.407912032937604e-6,true
24,1,8.026373443125346e-7,true
26,1,8.026373443125346e-7,true
27,2,1.6052746886250692e-6,true
28,1,8.026373443125346e-7,true
31,2,1.6052746886250692e-6,true
36,1,8.026373443125346e-7,true
37,1,8.026373443125346e-7,true
53,5,4.013186721562673e-6,true
102,1,8.026373443125346e-7,true
