atom_count,record_count,percent_of_profiled_records,contains_target
0,127414,0.10226723458823729,false
1,53120,0.04263609572988184,true
2,110092,0.08836395051005556,true
3,162813,0.13067979393955673,true
4,276373,0.22182729075968813,true
5,395499,0.31744226703826317,true
6,618940,0.4967843578888002,true
7,832857,0.6684821306721047,true
8,1200929,0.963910463267908,true
9,1532526,1.2300625987299114,true
10,2063699,1.6564018848204334,true
11,2451530,1.967689528702508,true
12,3128130,2.5107539558643692,true
13,3527691,2.8314565357952297,true
14,4245433,3.4075430685767967,true
15,4583872,3.679186848748587,true
16,5250327,4.214108520052397,true
17,5398934,4.3333860478786494,true
18,5982253,4.801579660925694,true
19,5864865,4.7073596683515335,true
20,6236222,5.005424664623403,true
21,5878475,4.718283562607628,true
22,5990638,4.808309775057754,true
23,5413181,4.344821222123071,true
24,5358183,4.30067777346057,true
25,4612983,3.7025524244788692,true
26,4494953,3.6078171387296605,true
27,3707296,2.9756142160204826,true
28,3605846,2.8941866574399757,true
29,2873199,2.3061368150414303,true
30,2844018,2.2827150546970465,true
31,2185505,1.7541679291817662,true
32,2190947,1.758535881609515,true
33,1659464,1.3319477779422562,true
34,1679005,1.3476321142874672,true
35,1252936,1.00565322363357,true
36,1302722,1.0456133264575138,true
37,949445,0.7620600133708144,true
38,1008063,0.8091090092197266,true
39,733411,0.5886630573296003,true
40,800301,0.6423514692906658,true
41,571880,0.45901224446545236,true
42,656328,0.5267933629179573,true
43,455727,0.36578350901151846,true
44,541505,0.4346321351319591,true
45,380394,0.3053184299524223,true
46,460800,0.369855288259216,true
47,310364,0.24910973673021553,true
48,409613,0.32877069051589025,true
49,260228,0.20886871083576228,true
50,345580,0.2773754134475257,true
51,223547,0.1794271704090342,true
52,299176,0.2401298301220469,true
53,188705,0.15146168005849683,true
54,260778,0.20931016137513414,true
55,161592,0.1296997737421511,true
56,226956,0.18216336111579562,true
57,143479,0.11516160352461817,true
58,198713,0.15949447460037672,true
59,124189,0.09967872915282938,true
60,182785,0.14671006698016664,true
61,110428,0.08863363665774457,true
62,159769,0.12823656586346935,true
63,103439,0.08302400425834427,true
64,145827,0.11704619600906398,true
65,91118,0.07313470953906953,true
66,135193,0.10851095048964451,true
67,84272,0.06763985427990592,true
68,123096,0.09880144653549576,true
69,80003,0.06421339545703571,true
70,114157,0.09162667131468602,true
71,71842,0.05766307209010112,true
72,113678,0.09124220802676032,true
73,68192,0.05473344578336036,true
74,102488,0.08226069614390305,true
75,68073,0.05463793193938717,true
76,99836,0.08013210190678621,true
77,61889,0.04967442260215846,true
78,95709,0.07681961758680839,true
79,60010,0.048166267032195204,true
80,88472,0.07101093112601857,true
81,59621,0.04785404110525763,true
82,81880,0.06571994575231034,true
83,54437,0.04369316911234145,true
84,81111,0.065102717634534,true
85,50890,0.040846214452064884,true
86,72810,0.058440025039395646,true
87,50795,0.0407699639043552,true
88,70446,0.05654259035744082,true
89,45298,0.036357866422669194,true
90,68149,0.054698932377554924,true
91,42930,0.034457221191337116,true
92,63958,0.051335079267541085,true
93,43114,0.03460490646269062,true
94,58954,0.047318681996601164,true
95,40464,0.0324779175002624,true
96,62060,0.0498116735880359,true
97,39055,0.03134700148212604,true
98,56127,0.04504962622422963,true
99,39861,0.03199392718164194,true
100,56092,0.04502153391717869,true
101,36940,0.02964942349890503,true
102,54036,0.04337131153727212,true
103,35623,0.028592350116445422,true
104,52857,0.04242500210832764,true
105,35981,0.028879694285709308,true
106,47262,0.03793424616689901,true
107,32495,0.026081700503435813,true
108,49904,0.04005481403057273,true
109,31086,0.024950784485299454,true
110,44767,0.03593166599283924,true
111,32123,0.02578311941135155,true
112,45911,0.03684988311473278,true
113,29366,0.02357024825308189,true
114,43418,0.03484890821536163,true
115,28483,0.022861519478053923,true
116,42474,0.0340912185623306,true
117,28533,0.02290165134526955,true
118,38946,0.03125951401159597,true
119,26338,0.021139862374503538,true
120,43191,0.03466670953820269,true
121,25608,0.020553937113155386,true
122,36681,0.029441540426728086,true
123,25711,0.02063660875961958,true
124,37892,0.03041353425069056,true
125,24045,0.019299414943994897,true
126,36715,0.029468830096434712,true
127,22950,0.01842052705197267,true
128,35950,0.02885481252803562,true
129,22602,0.01814120925615191,true
130,32792,0.026320083794696636,true
131,21432,0.01720212356330624,true
132,34530,0.02771506749911182,true
133,20013,0.016063181171726757,true
134,30096,0.024156173514430043,true
135,20003,0.016055154798283632,true
136,31068,0.024936337013101828,true
137,18234,0.014635289336194759,true
138,29130,0.023380825839824135,true
139,17367,0.013939402758675789,true
140,29131,0.02338162847716845,true
141,17259,0.013852717925490036,true
142,25986,0.020857334029305525,true
143,15779,0.012664814655907485,true
144,28183,0.022620728274760166,true
145,14984,0.012026717967179018,true
146,23580,0.018926188578889565,true
147,14694,0.011793953137328384,true
148,24040,0.01929540175727333,true
149,13145,0.010550667890988267,true
150,22661,0.018188564859466346,true
151,12834,0.01030104767690707,true
152,21886,0.01756652091762413,true
153,12509,0.010040190540005496,true
154,18918,0.01518429327970453,true
155,12029,0.009654924614735478,true
156,20250,0.016253406222328827,true
157,11001,0.008829813424782194,true
158,17329,0.013908902539591914,true
159,10656,0.00855290354099437,true
160,17923,0.014385669122113557,true
161,9884,0.007933267511185092,true
162,16324,0.013102252008557816,true
163,9292,0.007458106203352072,true
164,15735,0.012629498612757733,true
165,9239,0.007415566424103507,true
166,13802,0.011078000626201604,true
167,8516,0.006835259624165545,true
168,15953,0.012804473553817867,true
169,7874,0.006319966449116897,true
170,12881,0.010338771632089759,true
171,7825,0.006280637219245583,true
172,12770,0.010249678886871068,true
173,7185,0.005766949318885562,true
174,12078,0.009694253844606794,true
175,7012,0.005628093058319493,true
176,11842,0.009504831431349036,true
177,6756,0.005422617898175485,true
178,10558,0.008474245081251741,true
179,6216,0.004989193732246716,true
180,11834,0.009498410332594534,true
181,6015,0.004827863626039896,true
182,9614,0.007716555428220709,true
183,5934,0.00476285000115058,true
184,9911,0.00795493871948153,true
185,5403,0.004336649571320624,true
186,8811,0.007072037640737742,true
187,5292,0.004247556826101933,true
188,8757,0.007028695224144866,true
189,5356,0.004298925616137936,true
190,8171,0.006558349740377721,true
191,4943,0.003967436392936859,true
192,8908,0.007149893463136058,true
193,4699,0.0037715928809246,true
194,7349,0.005898581843352817,true
195,4963,0.0039834891398231095,true
196,7720,0.006196360298092767,true
197,4381,0.003516354205433214,true
198,7508,0.00602620118109851,true
199,4367,0.003505117282612839,true
200,7917,0.006354479854922337,true
201,4425,0.0035516702485829657,true
202,6474,0.005196274167079349,true
203,4048,0.0032490759697771402,true
204,7439,0.005970819204340946,true
205,4017,0.0032241942121034517,true
206,6337,0.005086312850908532,true
207,4050,0.0032506812444657654,true
208,6956,0.0055831453670379914,true
209,3854,0.003093364324980508,true
210,6799,0.005457131303980923,true
211,3811,0.0030588509191750695,true
212,6376,0.005117615707336721,true
213,3686,0.0029585212511360026,true
214,5539,0.0044458082501471295,true
215,3463,0.0027795331233543075,true
216,6665,0.005349577899843043,true
217,3332,0.0026743876312493656,true
218,5273,0.004232306716559995,true
219,3320,0.002664755983117615,true
220,5803,0.0046577045090456385,true
221,3228,0.002590913347440862,true
222,5443,0.004368755065093126,true
223,3195,0.002564426315078548,true
224,5692,0.004568611763826947,true
225,3275,0.002628637302623551,true
226,4871,0.003909646504146356,true
227,3010,0.0024159384063807293,true
228,5586,0.004483532205329818,true
229,2919,0.0023428984080482887,true
230,4600,0.0036921317838376597,true
231,2948,0.002366174891033352,true
232,4918,0.003947370459329046,true
233,2737,0.002196818411383407,true
234,4676,0.0037531322220054125,true
235,2822,0.0022650425856499726,true
236,4571,0.003668855300852596,true
237,2587,0.002076422809736527,true
238,4248,0.0034096034386396474,true
239,2491,0.001999369624682524,true
240,5149,0.004132779685865241,true
241,2429,0.0019496061093351464,true
242,4031,0.003235431134923827,true
243,2570,0.002062777974883214,true
244,4214,0.003382313768933021,true
245,2548,0.0020451199533083383,true
246,4033,0.0032370364096124525,true
247,2317,0.0018597107267721428,true
248,4078,0.0032731550901065167,true
249,2362,0.0018958294072662068,true
250,3912,0.0031399172909506354,true
251,2187,0.0017553678720115134,true
252,4282,0.0034368931083462733,true
253,2123,0.0017039990819755111,true
254,3544,0.0028445467482436228,true
255,2218,0.0017802496296852018,true
256,3986,0.0031993124544297626,true
257,2039,0.0016365775450532583,true
258,3649,0.002928823669396439,true
259,2001,0.001606077325969382,true
260,3682,0.0029553107017587527,true
261,2006,0.0016100905126909446,true
262,3284,0.002635861038722364,true
263,1786,0.001433510296942187,true
264,3689,0.0029609291631689403,true
265,1883,0.0015113661193405026,true
266,2911,0.0023364773092937885,true
267,1809,0.0014519709558613752,true
268,3157,0.002533926095994672,true
269,1712,0.0013741151334630594,true
270,2930,0.0023517274188357266,true
271,1708,0.0013709045840858093,true
272,3033,0.0024343990652999177,true
273,1789,0.0014359182089751245,true
274,2635,0.0021149494022635286,true
275,1606,0.0012890355749659306,true
276,2906,0.002332464122572226,true
277,1617,0.0012978645857533685,true
278,2359,0.0018934214952332693,true
279,1585,0.0012721801907353673,true
280,2801,0.00224818720141941,true
281,1572,0.0012617459052593045,true
282,2431,0.0019512113840237718,true
283,1512,0.0012135876646005525,true
284,2528,0.0020290672064220876,true
285,1506,0.0012087718405346772,true
286,2248,0.0018043287500145778,true
287,1369,0.00109881052436386,true
288,2662,0.0021366206105599673,true
289,1329,0.0010667050305913585,true
290,2190,0.001757775784044451,true
291,1408,0.0011301133807920488,true
292,2251,0.0018067366620475153,true
293,1217,0.0009768096480283546,true
294,2079,0.0016686830388257595,true
295,1360,0.001091586788265047,true
296,2298,0.0018444606172302045,true
297,1201,0.0009639674505193541,true
298,1900,0.0015250109541938158,true
299,1270,0.001019349427276919,true
300,2182,0.0017513546852899508,true
301,1145,0.0009190197592378521,true
302,1795,0.0014407340330409996,true
303,1130,0.0009069801990731641,true
304,2023,0.0016237353475442575,true
305,1135,0.0009109933857947268,true
306,1804,0.0014479577691398125,true
307,1131,0.0009077828364174766,true
308,1836,0.0014736421641578135,true
309,1173,0.0009414936048786032,true
310,1733,0.0013909705176936224,true
311,1096,0.000879690529366538,true
312,2011,0.0016141036994125073,true
313,1002,0.0008042426190011596,true
314,1540,0.0012360615102413033,true
315,1021,0.0008194927285430979,true
316,1731,0.0013893652430049975,true
317,974,0.0007817687733604088,true
318,1551,0.0012448905210287412,true
319,975,0.0007825714107047212,true
320,1633,0.001310706783262369,true
321,888,0.0007127419617495307,true
322,1461,0.0011726531600406132,true
323,881,0.000707123500339343,true
324,1597,0.001281811838867118,true
325,829,0.0006653863584350912,true
326,1315,0.001055468107770983,true
327,857,0.0006878602040758422,true
328,1472,0.0011814821708280511,true
329,893,0.0007167551484710935,true
330,1408,0.0011301133807920488,true
331,852,0.0006838470173542796,true
332,1334,0.0010707182173129211,true
333,861,0.0006910707534530922,true
334,1190,0.0009551384397319162,true
335,716,0.0005746883385277748,true
336,1391,0.0011164685459387356,true
337,753,0.0006043859202673386,true
338,1155,0.0009270461326809776,true
