atom_count,record_count,percent_of_profiled_records,contains_target
0,124567097,99.98220392480191,false
1,20134,0.016160300290388573,true
2,1373,0.0011020210737411101,true
3,321,0.0002576465875243236,true
4,203,0.00016293538089544454,true
5,81,0.00006501362488931531,true
6,34,0.00002728966970662618,true
7,7,5.618461410187742e-6,true
8,6,4.815824065875208e-6,true
9,3,2.407912032937604e-6,true
11,2,1.6052746886250692e-6,true
12,3,2.407912032937604e-6,true
13,1,8.026373443125346e-7,true
24,2,1.6052746886250692e-6,true
30,1,8.026373443125346e-7,true
94,1,8.026373443125346e-7,true
