atom_count,record_count,percent_of_formula_records,contains_target
1,13542,89.53388429752066,true
2,1258,8.317355371900828,true
3,164,1.0842975206611571,true
4,89,0.5884297520661157,true
5,25,0.1652892561983471,true
6,12,0.0793388429752066,true
7,6,0.0396694214876033,true
8,6,0.0396694214876033,true
9,5,0.03305785123966942,true
10,9,0.05950413223140496,true
12,1,0.006611570247933884,true
18,3,0.01983471074380165,true
34,3,0.01983471074380165,true
40,1,0.006611570247933884,true
56,1,0.006611570247933884,true
