atom_count,record_count,percent_of_profiled_records,contains_target
0,122046469,97.95905376088209,false
1,2337549,1.8762041215604213,true
2,134959,0.10832313335107535,true
3,36342,0.029169446367006132,true
4,13131,0.010539430968167892,true
5,4360,0.0034994988212026508,true
6,6816,0.005470776138834237,true
7,1293,0.0010378100861961072,true
8,1409,0.0011309160181363614,true
9,1259,0.0010105204164894811,true
10,543,0.0004358320779617063,true
11,359,0.00028814680660819997,true
12,635,0.0005096747136384595,true
13,249,0.00019985669873382115,true
14,155,0.00012440878836844288,true
15,233,0.00018701450122482057,true
16,193,0.00015490900745231917,true
17,128,0.00010273758007200443,true
18,294,0.0002359753792278852,true
19,81,0.00006501362488931531,true
20,141,0.0001131718655480674,true
21,213,0.0001709617543385699,true
22,63,0.000050566152691689686,true
23,61,0.00004896087800306461,true
24,286,0.00022955428047338492,true
25,84,0.0000674215369222529,true
26,43,0.00003451340580543899,true
27,100,0.00008026373443125346,true
28,46,0.0000369213178383766,true
29,41,0.000032908131116813916,true
30,70,0.00005618461410187742,true
31,33,0.000026487032362313644,true
32,40,0.00003210549377250139,true
33,43,0.00003451340580543899,true
34,27,0.000021671208296438437,true
35,36,0.00002889494439525125,true
36,37,0.000029697581739563785,true
37,24,0.00001926329626350083,true
38,29,0.000023276482985063506,true
39,20,0.000016052746886250693,true
40,17,0.00001364483485331309,true
41,17,0.00001364483485331309,true
42,20,0.000016052746886250693,true
43,14,0.000011236922820375485,true
44,13,0.00001043428547606295,true
45,22,0.000017658021574875762,true
46,7,5.618461410187742e-6,true
47,11,8.829010787437881e-6,true
48,17,0.00001364483485331309,true
49,15,0.00001203956016468802,true
50,8,6.421098754500277e-6,true
51,17,0.00001364483485331309,true
52,15,0.00001203956016468802,true
53,10,8.026373443125347e-6,true
54,20,0.000016052746886250693,true
55,18,0.000014447472197625624,true
56,8,6.421098754500277e-6,true
57,16,0.000012842197509000554,true
58,9,7.223736098812812e-6,true
59,10,8.026373443125347e-6,true
60,20,0.000016052746886250693,true
61,17,0.00001364483485331309,true
62,12,9.631648131750416e-6,true
63,13,0.00001043428547606295,true
64,8,6.421098754500277e-6,true
65,8,6.421098754500277e-6,true
66,8,6.421098754500277e-6,true
67,4,3.2105493772501384e-6,true
68,10,8.026373443125347e-6,true
69,8,6.421098754500277e-6,true
70,17,0.00001364483485331309,true
71,8,6.421098754500277e-6,true
72,6,4.815824065875208e-6,true
73,5,4.013186721562673e-6,true
74,11,8.829010787437881e-6,true
75,12,9.631648131750416e-6,true
76,8,6.421098754500277e-6,true
77,6,4.815824065875208e-6,true
78,7,5.618461410187742e-6,true
79,10,8.026373443125347e-6,true
80,4,3.2105493772501384e-6,true
81,15,0.00001203956016468802,true
82,9,7.223736098812812e-6,true
83,9,7.223736098812812e-6,true
84,9,7.223736098812812e-6,true
85,8,6.421098754500277e-6,true
86,5,4.013186721562673e-6,true
87,6,4.815824065875208e-6,true
88,1,8.026373443125346e-7,true
89,5,4.013186721562673e-6,true
90,9,7.223736098812812e-6,true
91,5,4.013186721562673e-6,true
92,3,2.407912032937604e-6,true
93,7,5.618461410187742e-6,true
94,6,4.815824065875208e-6,true
95,9,7.223736098812812e-6,true
96,5,4.013186721562673e-6,true
97,7,5.618461410187742e-6,true
98,7,5.618461410187742e-6,true
99,8,6.421098754500277e-6,true
100,5,4.013186721562673e-6,true
101,9,7.223736098812812e-6,true
102,7,5.618461410187742e-6,true
103,4,3.2105493772501384e-6,true
104,3,2.407912032937604e-6,true
105,10,8.026373443125347e-6,true
106,7,5.618461410187742e-6,true
107,12,9.631648131750416e-6,true
108,6,4.815824065875208e-6,true
109,9,7.223736098812812e-6,true
110,7,5.618461410187742e-6,true
111,12,9.631648131750416e-6,true
112,10,8.026373443125347e-6,true
113,7,5.618461410187742e-6,true
114,9,7.223736098812812e-6,true
115,5,4.013186721562673e-6,true
116,4,3.2105493772501384e-6,true
117,13,0.00001043428547606295,true
118,4,3.2105493772501384e-6,true
119,2,1.6052746886250692e-6,true
120,10,8.026373443125347e-6,true
121,7,5.618461410187742e-6,true
122,3,2.407912032937604e-6,true
123,12,9.631648131750416e-6,true
124,5,4.013186721562673e-6,true
125,7,5.618461410187742e-6,true
126,10,8.026373443125347e-6,true
127,4,3.2105493772501384e-6,true
128,9,7.223736098812812e-6,true
129,9,7.223736098812812e-6,true
130,4,3.2105493772501384e-6,true
131,7,5.618461410187742e-6,true
132,6,4.815824065875208e-6,true
133,1,8.026373443125346e-7,true
134,2,1.6052746886250692e-6,true
135,7,5.618461410187742e-6,true
136,2,1.6052746886250692e-6,true
137,3,2.407912032937604e-6,true
138,4,3.2105493772501384e-6,true
139,4,3.2105493772501384e-6,true
140,3,2.407912032937604e-6,true
141,5,4.013186721562673e-6,true
142,2,1.6052746886250692e-6,true
143,2,1.6052746886250692e-6,true
144,2,1.6052746886250692e-6,true
145,2,1.6052746886250692e-6,true
146,2,1.6052746886250692e-6,true
147,3,2.407912032937604e-6,true
148,2,1.6052746886250692e-6,true
149,4,3.2105493772501384e-6,true
150,8,6.421098754500277e-6,true
151,1,8.026373443125346e-7,true
152,5,4.013186721562673e-6,true
153,3,2.407912032937604e-6,true
154,2,1.6052746886250692e-6,true
155,6,4.815824065875208e-6,true
156,1,8.026373443125346e-7,true
157,2,1.6052746886250692e-6,true
158,5,4.013186721562673e-6,true
159,3,2.407912032937604e-6,true
