atom_count,record_count,percent_of_profiled_records,contains_target
0,124575263,99.98875826135556,false
1,12750,0.010233626139984816,true
2,988,0.0007930056961807843,true
3,121,0.00009711911866181669,true
4,89,0.00007143472364381559,true
5,25,0.000020065933607813364,true
6,11,8.829010787437881e-6,true
7,4,3.2105493772501384e-6,true
8,4,3.2105493772501384e-6,true
10,2,1.6052746886250692e-6,true
12,1,8.026373443125346e-7,true
14,3,2.407912032937604e-6,true
16,1,8.026373443125346e-7,true
17,2,1.6052746886250692e-6,true
18,2,1.6052746886250692e-6,true
19,1,8.026373443125346e-7,true
29,1,8.026373443125346e-7,true
60,1,8.026373443125346e-7,true
