atom_count,record_count,percent_of_profiled_records,contains_target
0,124419666,99.86387029849256,false
1,131250,0.10534615144102018,true
2,6952,0.005579934817660741,true
3,7487,0.006009345796867947,true
4,12457,0.009998453398101244,true
5,7013,0.005628895695663806,true
6,2260,0.0018139603981463283,true
7,680,0.0005457933941325235,true
8,726,0.0005827147119709001,true
9,193,0.00015490900745231917,true
10,342,0.00027450197175488686,true
11,51,0.000040934504559939265,true
12,96,0.00007705318505400333,true
13,21,0.000016855384230563226,true
14,23,0.0000184606589191883,true
15,20,0.000016052746886250693,true
16,17,0.00001364483485331309,true
17,4,3.2105493772501384e-6,true
18,1,8.026373443125346e-7,true
19,3,2.407912032937604e-6,true
20,2,1.6052746886250692e-6,true
22,1,8.026373443125346e-7,true
49,1,8.026373443125346e-7,true
60,1,8.026373443125346e-7,true
145,1,8.026373443125346e-7,true
146,1,8.026373443125346e-7,true
