atom_count,record_count,percent_of_profiled_records,contains_target
0,124433079,99.87463607319182,false
1,117403,0.0942320321343245,true
2,28225,0.022654439043221293,true
3,5066,0.004066160786287301,true
4,2584,0.0020740148977035897,true
5,748,0.0006003727335457759,true
6,642,0.0005152931750486472,true
7,237,0.0001902250506020707,true
8,245,0.00019664614935657098,true
9,121,0.00009711911866181669,true
10,158,0.00012681670040138048,true
11,44,0.000035316043149751525,true
12,111,0.00008909274521869134,true
13,29,0.000023276482985063506,true
14,32,0.000025684395018001108,true
15,43,0.00003451340580543899,true
16,38,0.000030500219083876315,true
17,11,8.829010787437881e-6,true
18,30,0.00002407912032937604,true
19,17,0.00001364483485331309,true
20,38,0.000030500219083876315,true
21,12,9.631648131750416e-6,true
22,20,0.000016052746886250693,true
23,13,0.00001043428547606295,true
24,11,8.829010787437881e-6,true
25,14,0.000011236922820375485,true
26,13,0.00001043428547606295,true
27,8,6.421098754500277e-6,true
28,12,9.631648131750416e-6,true
29,8,6.421098754500277e-6,true
30,11,8.829010787437881e-6,true
31,2,1.6052746886250692e-6,true
32,9,7.223736098812812e-6,true
33,8,6.421098754500277e-6,true
34,2,1.6052746886250692e-6,true
35,5,4.013186721562673e-6,true
36,8,6.421098754500277e-6,true
37,3,2.407912032937604e-6,true
38,5,4.013186721562673e-6,true
39,6,4.815824065875208e-6,true
40,7,5.618461410187742e-6,true
41,2,1.6052746886250692e-6,true
42,12,9.631648131750416e-6,true
43,10,8.026373443125347e-6,true
44,5,4.013186721562673e-6,true
45,7,5.618461410187742e-6,true
46,5,4.013186721562673e-6,true
47,3,2.407912032937604e-6,true
48,4,3.2105493772501384e-6,true
49,3,2.407912032937604e-6,true
50,8,6.421098754500277e-6,true
51,4,3.2105493772501384e-6,true
52,2,1.6052746886250692e-6,true
53,2,1.6052746886250692e-6,true
54,1,8.026373443125346e-7,true
55,3,2.407912032937604e-6,true
56,1,8.026373443125346e-7,true
57,1,8.026373443125346e-7,true
58,1,8.026373443125346e-7,true
59,3,2.407912032937604e-6,true
60,2,1.6052746886250692e-6,true
61,1,8.026373443125346e-7,true
62,1,8.026373443125346e-7,true
63,1,8.026373443125346e-7,true
64,1,8.026373443125346e-7,true
65,1,8.026373443125346e-7,true
66,5,4.013186721562673e-6,true
68,1,8.026373443125346e-7,true
70,2,1.6052746886250692e-6,true
76,1,8.026373443125346e-7,true
80,1,8.026373443125346e-7,true
84,2,1.6052746886250692e-6,true
86,1,8.026373443125346e-7,true
87,2,1.6052746886250692e-6,true
95,1,8.026373443125346e-7,true
98,2,1.6052746886250692e-6,true
99,1,8.026373443125346e-7,true
101,3,2.407912032937604e-6,true
102,2,1.6052746886250692e-6,true
104,3,2.407912032937604e-6,true
105,4,3.2105493772501384e-6,true
106,1,8.026373443125346e-7,true
107,1,8.026373443125346e-7,true
108,1,8.026373443125346e-7,true
109,3,2.407912032937604e-6,true
110,2,1.6052746886250692e-6,true
111,1,8.026373443125346e-7,true
112,3,2.407912032937604e-6,true
115,2,1.6052746886250692e-6,true
117,1,8.026373443125346e-7,true
119,1,8.026373443125346e-7,true
120,1,8.026373443125346e-7,true
122,1,8.026373443125346e-7,true
125,1,8.026373443125346e-7,true
128,2,1.6052746886250692e-6,true
133,2,1.6052746886250692e-6,true
175,1,8.026373443125346e-7,true
200,1,8.026373443125346e-7,true
207,1,8.026373443125346e-7,true
208,1,8.026373443125346e-7,true
212,2,1.6052746886250692e-6,true
213,2,1.6052746886250692e-6,true
215,4,3.2105493772501384e-6,true
216,2,1.6052746886250692e-6,true
222,2,1.6052746886250692e-6,true
223,6,4.815824065875208e-6,true
228,23,0.0000184606589191883,true
281,1,8.026373443125346e-7,true
307,1,8.026373443125346e-7,true
318,1,8.026373443125346e-7,true
402,1,8.026373443125346e-7,true
406,1,8.026373443125346e-7,true
528,1,8.026373443125346e-7,true
688,1,8.026373443125346e-7,true
745,1,8.026373443125346e-7,true
