atom_count,record_count,percent_of_profiled_records,contains_target
0,124581155,99.99348740058824,false
1,7062,0.00566822492553512,true
2,753,0.0006043859202673386,true
3,74,0.00005939516347912757,true
4,84,0.0000674215369222529,true
5,26,0.0000208685709521259,true
6,11,8.829010787437881e-6,true
7,13,0.00001043428547606295,true
8,6,4.815824065875208e-6,true
9,4,3.2105493772501384e-6,true
10,2,1.6052746886250692e-6,true
11,2,1.6052746886250692e-6,true
12,3,2.407912032937604e-6,true
13,2,1.6052746886250692e-6,true
14,2,1.6052746886250692e-6,true
15,1,8.026373443125346e-7,true
16,1,8.026373443125346e-7,true
18,1,8.026373443125346e-7,true
20,1,8.026373443125346e-7,true
21,1,8.026373443125346e-7,true
26,1,8.026373443125346e-7,true
27,1,8.026373443125346e-7,true
28,1,8.026373443125346e-7,true
29,1,8.026373443125346e-7,true
30,1,8.026373443125346e-7,true
33,1,8.026373443125346e-7,true
34,1,8.026373443125346e-7,true
35,1,8.026373443125346e-7,true
36,1,8.026373443125346e-7,true
37,1,8.026373443125346e-7,true
39,1,8.026373443125346e-7,true
41,1,8.026373443125346e-7,true
48,1,8.026373443125346e-7,true
50,1,8.026373443125346e-7,true
51,1,8.026373443125346e-7,true
52,1,8.026373443125346e-7,true
55,1,8.026373443125346e-7,true
57,1,8.026373443125346e-7,true
64,1,8.026373443125346e-7,true
67,1,8.026373443125346e-7,true
70,1,8.026373443125346e-7,true
76,1,8.026373443125346e-7,true
78,1,8.026373443125346e-7,true
79,1,8.026373443125346e-7,true
80,1,8.026373443125346e-7,true
83,1,8.026373443125346e-7,true
85,1,8.026373443125346e-7,true
87,1,8.026373443125346e-7,true
90,1,8.026373443125346e-7,true
91,1,8.026373443125346e-7,true
93,1,8.026373443125346e-7,true
95,1,8.026373443125346e-7,true
96,1,8.026373443125346e-7,true
97,1,8.026373443125346e-7,true
98,1,8.026373443125346e-7,true
99,1,8.026373443125346e-7,true
101,1,8.026373443125346e-7,true
102,1,8.026373443125346e-7,true
103,1,8.026373443125346e-7,true
104,1,8.026373443125346e-7,true
105,1,8.026373443125346e-7,true
106,1,8.026373443125346e-7,true
111,1,8.026373443125346e-7,true
112,1,8.026373443125346e-7,true
121,1,8.026373443125346e-7,true
123,1,8.026373443125346e-7,true
132,1,8.026373443125346e-7,true
133,1,8.026373443125346e-7,true
135,1,8.026373443125346e-7,true
138,1,8.026373443125346e-7,true
145,1,8.026373443125346e-7,true
151,1,8.026373443125346e-7,true
155,1,8.026373443125346e-7,true
156,1,8.026373443125346e-7,true
162,1,8.026373443125346e-7,true
171,1,8.026373443125346e-7,true
172,1,8.026373443125346e-7,true
175,1,8.026373443125346e-7,true
181,1,8.026373443125346e-7,true
193,1,8.026373443125346e-7,true
199,1,8.026373443125346e-7,true
202,1,8.026373443125346e-7,true
210,1,8.026373443125346e-7,true
214,1,8.026373443125346e-7,true
235,1,8.026373443125346e-7,true
