atom_count,record_count,percent_of_profiled_records,contains_target
0,124471972,99.90585304742417,false
1,98747,0.07925802983882986,true
2,13061,0.010483246354066014,true
3,2438,0.0019568298454339596,true
4,1739,0.0013957863417594979,true
5,323,0.0002592518622129487,true
6,327,0.0002624624115901988,true
7,99,0.00007946109708694093,true
8,140,0.00011236922820375484,true
9,65,0.00005217142738031476,true
10,56,0.00004494769128150194,true
11,20,0.000016052746886250693,true
12,99,0.00007946109708694093,true
13,20,0.000016052746886250693,true
14,23,0.0000184606589191883,true
15,31,0.000024881757673688575,true
16,23,0.0000184606589191883,true
17,9,7.223736098812812e-6,true
18,16,0.000012842197509000554,true
19,3,2.407912032937604e-6,true
20,8,6.421098754500277e-6,true
21,3,2.407912032937604e-6,true
22,6,4.815824065875208e-6,true
23,2,1.6052746886250692e-6,true
24,4,3.2105493772501384e-6,true
25,3,2.407912032937604e-6,true
27,5,4.013186721562673e-6,true
29,1,8.026373443125346e-7,true
30,1,8.026373443125346e-7,true
32,1,8.026373443125346e-7,true
36,2,1.6052746886250692e-6,true
38,1,8.026373443125346e-7,true
40,1,8.026373443125346e-7,true
42,1,8.026373443125346e-7,true
44,1,8.026373443125346e-7,true
47,1,8.026373443125346e-7,true
49,1,8.026373443125346e-7,true
50,1,8.026373443125346e-7,true
52,7,5.618461410187742e-6,true
55,1,8.026373443125346e-7,true
58,1,8.026373443125346e-7,true
63,4,3.2105493772501384e-6,true
98,1,8.026373443125346e-7,true
99,1,8.026373443125346e-7,true
