atom_count,record_count,percent_of_profiled_records,contains_target
0,124526216,99.94939130752905,false
1,57530,0.04617572641830012,true
2,3710,0.0029777845473995036,true
3,1083,0.000869256243890475,true
4,266,0.00021350153358713422,true
5,128,0.00010273758007200443,true
6,72,0.0000577898887905025,true
7,27,0.000021671208296438437,true
8,17,0.00001364483485331309,true
9,28,0.00002247384564075097,true
10,28,0.00002247384564075097,true
11,12,9.631648131750416e-6,true
12,24,0.00001926329626350083,true
13,5,4.013186721562673e-6,true
14,11,8.829010787437881e-6,true
15,10,8.026373443125347e-6,true
16,11,8.829010787437881e-6,true
17,9,7.223736098812812e-6,true
18,4,3.2105493772501384e-6,true
19,5,4.013186721562673e-6,true
20,10,8.026373443125347e-6,true
21,2,1.6052746886250692e-6,true
22,3,2.407912032937604e-6,true
23,1,8.026373443125346e-7,true
24,2,1.6052746886250692e-6,true
25,4,3.2105493772501384e-6,true
26,1,8.026373443125346e-7,true
27,2,1.6052746886250692e-6,true
28,1,8.026373443125346e-7,true
29,1,8.026373443125346e-7,true
30,7,5.618461410187742e-6,true
33,1,8.026373443125346e-7,true
35,1,8.026373443125346e-7,true
36,3,2.407912032937604e-6,true
40,3,2.407912032937604e-6,true
41,3,2.407912032937604e-6,true
42,1,8.026373443125346e-7,true
50,2,1.6052746886250692e-6,true
51,2,1.6052746886250692e-6,true
54,1,8.026373443125346e-7,true
55,1,8.026373443125346e-7,true
56,1,8.026373443125346e-7,true
61,1,8.026373443125346e-7,true
62,3,2.407912032937604e-6,true
63,2,1.6052746886250692e-6,true
65,1,8.026373443125346e-7,true
72,1,8.026373443125346e-7,true
74,1,8.026373443125346e-7,true
78,2,1.6052746886250692e-6,true
88,1,8.026373443125346e-7,true
95,3,2.407912032937604e-6,true
100,4,3.2105493772501384e-6,true
120,1,8.026373443125346e-7,true
