atom_count,record_count,percent_of_profiled_records,contains_target
0,124558354,99.97518646650057,false
1,26858,0.021557233793546057,true
2,2410,0.0019343559997932083,true
3,681,0.0005465960314768361,true
4,499,0.00040051603481195476,true
5,160,0.00012842197509000555,true
6,135,0.00010835604148219218,true
7,35,0.00002809230705093871,true
8,60,0.00004815824065875208,true
9,15,0.00001203956016468802,true
10,14,0.000011236922820375485,true
11,5,4.013186721562673e-6,true
12,15,0.00001203956016468802,true
14,4,3.2105493772501384e-6,true
15,1,8.026373443125346e-7,true
16,3,2.407912032937604e-6,true
19,1,8.026373443125346e-7,true
20,3,2.407912032937604e-6,true
21,2,1.6052746886250692e-6,true
22,1,8.026373443125346e-7,true
23,1,8.026373443125346e-7,true
24,3,2.407912032937604e-6,true
26,1,8.026373443125346e-7,true
27,1,8.026373443125346e-7,true
30,1,8.026373443125346e-7,true
31,1,8.026373443125346e-7,true
32,1,8.026373443125346e-7,true
66,1,8.026373443125346e-7,true
71,1,8.026373443125346e-7,true
80,1,8.026373443125346e-7,true
100,1,8.026373443125346e-7,true
