atom_count,record_count,percent_of_profiled_records,contains_target
0,124569143,99.98384612080837,false
1,16471,0.01322023969817176,true
2,1842,0.001478457988223689,true
3,657,0.0005273327352133352,true
4,292,0.0002343701045392601,true
5,89,0.00007143472364381559,true
6,212,0.00017015911699425735,true
7,123,0.00009872439335044178,true
8,215,0.00017256702902719494,true
9,18,0.000014447472197625624,true
10,21,0.000016855384230563226,true
11,6,4.815824065875208e-6,true
12,112,0.00008989538256300388,true
14,7,5.618461410187742e-6,true
16,18,0.000014447472197625624,true
18,10,8.026373443125347e-6,true
19,1,8.026373443125346e-7,true
20,3,2.407912032937604e-6,true
21,1,8.026373443125346e-7,true
24,14,0.000011236922820375485,true
27,2,1.6052746886250692e-6,true
28,1,8.026373443125346e-7,true
29,6,4.815824065875208e-6,true
41,2,1.6052746886250692e-6,true
72,2,1.6052746886250692e-6,true
169,1,8.026373443125346e-7,true
