atom_count,record_count,percent_of_profiled_records,contains_target
0,124582597,99.99464480363875,false
1,5706,0.004579848686647322,true
2,544,0.0004366347153060189,true
3,128,0.00010273758007200443,true
4,85,0.00006822417426656544,true
5,67,0.00005377670206893982,true
6,57,0.000045750328625814475,true
7,25,0.000020065933607813364,true
8,12,9.631648131750416e-6,true
9,11,8.829010787437881e-6,true
10,12,9.631648131750416e-6,true
11,9,7.223736098812812e-6,true
14,1,8.026373443125346e-7,true
15,8,6.421098754500277e-6,true
16,2,1.6052746886250692e-6,true
18,1,8.026373443125346e-7,true
20,1,8.026373443125346e-7,true
24,1,8.026373443125346e-7,true
30,1,8.026373443125346e-7,true
36,1,8.026373443125346e-7,true
