atom_count,record_count,percent_of_profiled_records,contains_target
0,124583693,99.99552449416811,false
1,4880,0.003916870240245169,true
2,537,0.0004310162538958311,true
3,42,0.00003371076846112645,true
4,70,0.00005618461410187742,true
5,17,0.00001364483485331309,true
6,4,3.2105493772501384e-6,true
7,4,3.2105493772501384e-6,true
8,7,5.618461410187742e-6,true
9,2,1.6052746886250692e-6,true
10,1,8.026373443125346e-7,true
11,8,6.421098754500277e-6,true
12,3,2.407912032937604e-6,true
15,1,8.026373443125346e-7,true
