atom_count,record_count,percent_of_profiled_records,contains_target
0,124538771,99.95946841938691,false
1,44791,0.03595092928910274,true
2,3423,0.002747427629581806,true
3,806,0.000646925699515903,true
4,597,0.0004791744945545832,true
5,357,0.00028654153191957487,true
6,226,0.00018139603981463283,true
7,82,0.00006581626223362783,true
8,62,0.00004976351534737715,true
9,37,0.000029697581739563785,true
10,30,0.00002407912032937604,true
11,17,0.00001364483485331309,true
12,17,0.00001364483485331309,true
13,2,1.6052746886250692e-6,true
14,8,6.421098754500277e-6,true
15,3,2.407912032937604e-6,true
16,2,1.6052746886250692e-6,true
17,2,1.6052746886250692e-6,true
18,2,1.6052746886250692e-6,true
19,1,8.026373443125346e-7,true
20,2,1.6052746886250692e-6,true
23,1,8.026373443125346e-7,true
24,1,8.026373443125346e-7,true
25,1,8.026373443125346e-7,true
27,1,8.026373443125346e-7,true
30,4,3.2105493772501384e-6,true
35,2,1.6052746886250692e-6,true
36,1,8.026373443125346e-7,true
40,2,1.6052746886250692e-6,true
43,1,8.026373443125346e-7,true
45,1,8.026373443125346e-7,true
50,2,1.6052746886250692e-6,true
64,1,8.026373443125346e-7,true
65,1,8.026373443125346e-7,true
70,1,8.026373443125346e-7,true
73,1,8.026373443125346e-7,true
78,1,8.026373443125346e-7,true
80,4,3.2105493772501384e-6,true
84,1,8.026373443125346e-7,true
95,1,8.026373443125346e-7,true
98,1,8.026373443125346e-7,true
150,1,8.026373443125346e-7,true
500,1,8.026373443125346e-7,true
