atom_count,record_count,percent_of_profiled_records,contains_target
0,124588903,99.99970623473197,false
1,230,0.00018460658919188297,true
2,66,0.00005297406472462729,true
3,8,6.421098754500277e-6,true
4,11,8.829010787437881e-6,true
5,5,4.013186721562673e-6,true
6,4,3.2105493772501384e-6,true
7,22,0.000017658021574875762,true
8,3,2.407912032937604e-6,true
9,1,8.026373443125346e-7,true
10,4,3.2105493772501384e-6,true
11,2,1.6052746886250692e-6,true
14,2,1.6052746886250692e-6,true
15,2,1.6052746886250692e-6,true
19,1,8.026373443125346e-7,true
20,3,2.407912032937604e-6,true
22,2,1.6052746886250692e-6,true
