atom_count,record_count,percent_of_profiled_records,contains_target
0,124580551,99.99300260763229,false
1,7476,0.006000516786080509,true
2,434,0.00034834460743164003,true
3,296,0.00023758065391651028,true
4,216,0.0001733696663715075,true
5,91,0.00007303999833244064,true
6,83,0.00006661889957794038,true
7,29,0.000023276482985063506,true
8,38,0.000030500219083876315,true
9,9,7.223736098812812e-6,true
10,17,0.00001364483485331309,true
12,3,2.407912032937604e-6,true
13,1,8.026373443125346e-7,true
14,1,8.026373443125346e-7,true
15,1,8.026373443125346e-7,true
16,1,8.026373443125346e-7,true
17,1,8.026373443125346e-7,true
18,2,1.6052746886250692e-6,true
19,1,8.026373443125346e-7,true
20,1,8.026373443125346e-7,true
21,1,8.026373443125346e-7,true
22,1,8.026373443125346e-7,true
23,1,8.026373443125346e-7,true
24,2,1.6052746886250692e-6,true
25,1,8.026373443125346e-7,true
26,1,8.026373443125346e-7,true
27,2,1.6052746886250692e-6,true
28,1,8.026373443125346e-7,true
29,1,8.026373443125346e-7,true
49,1,8.026373443125346e-7,true
66,1,8.026373443125346e-7,true
82,1,8.026373443125346e-7,true
98,1,8.026373443125346e-7,true
113,1,8.026373443125346e-7,true
195,1,8.026373443125346e-7,true
