atom_count,record_count,percent_of_profiled_records,contains_target
0,122085931,97.99072743576335,false
1,1823163,1.4633387085688736,true
2,449671,0.36092273725436175,true
3,110637,0.0888013878627059,true
4,51225,0.041115097962409586,true
5,15248,0.012238614226077528,true
6,18130,0.014551815052386253,true
7,6227,0.004998022743034154,true
8,7561,0.006068740960347075,true
9,2933,0.0023541353308686643,true
10,3088,0.002478544119237107,true
11,1538,0.0012344562355526784,true
12,2682,0.002152673357446218,true
13,765,0.000614017568399089,true
14,961,0.0007713344878843457,true
15,1088,0.0008732694306120378,true
16,1067,0.0008564140463814745,true
17,558,0.0004478716381263943,true
18,1024,0.0008219006405760354,true
19,895,0.0007183604231597186,true
20,717,0.0005754909758720874,true
21,347,0.00027851515847644953,true
22,302,0.00024239647798238544,true
23,175,0.00014046153525469355,true
24,344,0.0002761072464435119,true
25,169,0.00013564571118881836,true
26,126,0.00010113230538337937,true
27,138,0.00011076395351512978,true
28,155,0.00012440878836844288,true
29,70,0.00005618461410187742,true
30,163,0.00013082988712294314,true
31,65,0.00005217142738031476,true
32,99,0.00007946109708694093,true
33,60,0.00004815824065875208,true
34,50,0.00004013186721562673,true
35,67,0.00005377670206893982,true
36,55,0.00004414505393718941,true
37,45,0.00003611868049406406,true
38,45,0.00003611868049406406,true
39,33,0.000026487032362313644,true
40,38,0.000030500219083876315,true
41,27,0.000021671208296438437,true
42,36,0.00002889494439525125,true
43,28,0.00002247384564075097,true
44,55,0.00004414505393718941,true
45,28,0.00002247384564075097,true
46,37,0.000029697581739563785,true
47,24,0.00001926329626350083,true
48,30,0.00002407912032937604,true
49,18,0.000014447472197625624,true
50,24,0.00001926329626350083,true
51,29,0.000023276482985063506,true
52,23,0.0000184606589191883,true
53,30,0.00002407912032937604,true
54,26,0.0000208685709521259,true
55,27,0.000021671208296438437,true
56,18,0.000014447472197625624,true
57,24,0.00001926329626350083,true
58,24,0.00001926329626350083,true
59,22,0.000017658021574875762,true
60,23,0.0000184606589191883,true
61,32,0.000025684395018001108,true
62,14,0.000011236922820375485,true
63,20,0.000016052746886250693,true
64,20,0.000016052746886250693,true
65,17,0.00001364483485331309,true
66,24,0.00001926329626350083,true
67,34,0.00002728966970662618,true
68,17,0.00001364483485331309,true
69,23,0.0000184606589191883,true
70,13,0.00001043428547606295,true
71,18,0.000014447472197625624,true
72,14,0.000011236922820375485,true
73,16,0.000012842197509000554,true
74,19,0.000015250109541938157,true
75,14,0.000011236922820375485,true
76,22,0.000017658021574875762,true
77,16,0.000012842197509000554,true
78,13,0.00001043428547606295,true
79,19,0.000015250109541938157,true
80,14,0.000011236922820375485,true
81,22,0.000017658021574875762,true
82,9,7.223736098812812e-6,true
83,17,0.00001364483485331309,true
84,22,0.000017658021574875762,true
85,14,0.000011236922820375485,true
86,11,8.829010787437881e-6,true
87,16,0.000012842197509000554,true
88,16,0.000012842197509000554,true
89,15,0.00001203956016468802,true
90,13,0.00001043428547606295,true
91,18,0.000014447472197625624,true
92,13,0.00001043428547606295,true
93,11,8.829010787437881e-6,true
94,21,0.000016855384230563226,true
95,15,0.00001203956016468802,true
96,22,0.000017658021574875762,true
97,22,0.000017658021574875762,true
98,13,0.00001043428547606295,true
99,20,0.000016052746886250693,true
100,13,0.00001043428547606295,true
101,16,0.000012842197509000554,true
102,11,8.829010787437881e-6,true
103,15,0.00001203956016468802,true
104,22,0.000017658021574875762,true
105,16,0.000012842197509000554,true
106,15,0.00001203956016468802,true
107,20,0.000016052746886250693,true
108,21,0.000016855384230563226,true
109,21,0.000016855384230563226,true
110,13,0.00001043428547606295,true
111,12,9.631648131750416e-6,true
112,17,0.00001364483485331309,true
113,13,0.00001043428547606295,true
114,13,0.00001043428547606295,true
115,14,0.000011236922820375485,true
116,12,9.631648131750416e-6,true
117,14,0.000011236922820375485,true
118,17,0.00001364483485331309,true
119,8,6.421098754500277e-6,true
120,7,5.618461410187742e-6,true
121,9,7.223736098812812e-6,true
122,9,7.223736098812812e-6,true
123,12,9.631648131750416e-6,true
124,9,7.223736098812812e-6,true
125,11,8.829010787437881e-6,true
126,6,4.815824065875208e-6,true
127,4,3.2105493772501384e-6,true
128,2,1.6052746886250692e-6,true
