atom_count,record_count,percent_of_profiled_records,contains_target
0,124570968,99.98531093396174,false
1,16603,0.013326187827621013,true
2,1102,0.0008845063534324133,true
3,356,0.00028573889457526234,true
4,97,0.00007785582239831586,true
5,51,0.000040934504559939265,true
6,31,0.000024881757673688575,true
7,9,7.223736098812812e-6,true
8,9,7.223736098812812e-6,true
9,15,0.00001203956016468802,true
10,5,4.013186721562673e-6,true
11,2,1.6052746886250692e-6,true
12,4,3.2105493772501384e-6,true
16,1,8.026373443125346e-7,true
17,2,1.6052746886250692e-6,true
18,3,2.407912032937604e-6,true
23,1,8.026373443125346e-7,true
24,1,8.026373443125346e-7,true
25,3,2.407912032937604e-6,true
27,1,8.026373443125346e-7,true
28,1,8.026373443125346e-7,true
40,1,8.026373443125346e-7,true
55,1,8.026373443125346e-7,true
85,1,8.026373443125346e-7,true
124,1,8.026373443125346e-7,true
