atom_count,record_count,percent_of_profiled_records,contains_target
0,124540413,99.96078634990627,false
1,41011,0.03291696012760136,true
2,4075,0.0032707471780735785,true
3,673,0.0005401749327223358,true
4,1338,0.0010739287666901712,true
5,682,0.0005473986688211486,true
6,366,0.0002937652680183877,true
7,29,0.000023276482985063506,true
8,407,0.0003266733991352016,true
9,11,8.829010787437881e-6,true
10,111,0.00008909274521869134,true
11,9,7.223736098812812e-6,true
12,49,0.0000393292298713142,true
13,3,2.407912032937604e-6,true
14,6,4.815824065875208e-6,true
16,12,9.631648131750416e-6,true
18,1,8.026373443125346e-7,true
20,17,0.00001364483485331309,true
21,6,4.815824065875208e-6,true
22,2,1.6052746886250692e-6,true
30,1,8.026373443125346e-7,true
35,1,8.026373443125346e-7,true
38,1,8.026373443125346e-7,true
39,1,8.026373443125346e-7,true
41,3,2.407912032937604e-6,true
50,1,8.026373443125346e-7,true
54,1,8.026373443125346e-7,true
75,1,8.026373443125346e-7,true
76,1,8.026373443125346e-7,true
80,1,8.026373443125346e-7,true
90,1,8.026373443125346e-7,true
100,1,8.026373443125346e-7,true
113,1,8.026373443125346e-7,true
114,1,8.026373443125346e-7,true
118,24,0.00001926329626350083,true
120,3,2.407912032937604e-6,true
132,1,8.026373443125346e-7,true
229,1,8.026373443125346e-7,true
230,1,8.026373443125346e-7,true
233,1,8.026373443125346e-7,true
234,1,8.026373443125346e-7,true
