atom_count,record_count,percent_of_profiled_records,contains_target
0,124445710,99.88477418548783,false
1,111594,0.089569511801213,true
2,8598,0.006901075886399172,true
3,6125,0.004916153733914275,true
4,9061,0.007272696976815877,true
5,4816,0.0038655014502091667,true
6,1723,0.0013829441442504973,true
7,306,0.0002456070273596356,true
8,733,0.0005883331733810879,true
9,115,0.00009230329459594149,true
10,206,0.00016534329292838213,true
11,33,0.000026487032362313644,true
12,85,0.00006822417426656544,true
13,11,8.829010787437881e-6,true
14,26,0.0000208685709521259,true
15,6,4.815824065875208e-6,true
16,38,0.000030500219083876315,true
17,4,3.2105493772501384e-6,true
18,3,2.407912032937604e-6,true
19,3,2.407912032937604e-6,true
20,18,0.000014447472197625624,true
21,2,1.6052746886250692e-6,true
22,3,2.407912032937604e-6,true
23,1,8.026373443125346e-7,true
24,1,8.026373443125346e-7,true
25,2,1.6052746886250692e-6,true
26,1,8.026373443125346e-7,true
27,3,2.407912032937604e-6,true
29,1,8.026373443125346e-7,true
30,2,1.6052746886250692e-6,true
31,1,8.026373443125346e-7,true
36,1,8.026373443125346e-7,true
39,1,8.026373443125346e-7,true
42,1,8.026373443125346e-7,true
46,1,8.026373443125346e-7,true
85,1,8.026373443125346e-7,true
89,1,8.026373443125346e-7,true
90,1,8.026373443125346e-7,true
93,1,8.026373443125346e-7,true
97,1,8.026373443125346e-7,true
113,1,8.026373443125346e-7,true
114,1,8.026373443125346e-7,true
116,1,8.026373443125346e-7,true
117,1,8.026373443125346e-7,true
123,1,8.026373443125346e-7,true
151,1,8.026373443125346e-7,true
152,4,3.2105493772501384e-6,true
153,3,2.407912032937604e-6,true
181,1,8.026373443125346e-7,true
182,1,8.026373443125346e-7,true
185,1,8.026373443125346e-7,true
186,1,8.026373443125346e-7,true
189,1,8.026373443125346e-7,true
190,1,8.026373443125346e-7,true
225,1,8.026373443125346e-7,true
226,1,8.026373443125346e-7,true
229,1,8.026373443125346e-7,true
230,1,8.026373443125346e-7,true
233,1,8.026373443125346e-7,true
234,1,8.026373443125346e-7,true
250,1,8.026373443125346e-7,true
279,1,8.026373443125346e-7,true
435,1,8.026373443125346e-7,true
489,1,8.026373443125346e-7,true
