atom_count,record_count,percent_of_profiled_records,contains_target
0,124578072,99.99101286965573,false
1,8821,0.007080064014180869,true
2,1262,0.0010129283285224186,true
3,402,0.00032266021241363893,true
4,221,0.00017738285309307016,true
5,82,0.00006581626223362783,true
6,83,0.00006661889957794038,true
7,26,0.0000208685709521259,true
8,44,0.000035316043149751525,true
9,15,0.00001203956016468802,true
10,21,0.000016855384230563226,true
11,6,4.815824065875208e-6,true
12,18,0.000014447472197625624,true
13,4,3.2105493772501384e-6,true
14,4,3.2105493772501384e-6,true
15,2,1.6052746886250692e-6,true
16,7,5.618461410187742e-6,true
18,7,5.618461410187742e-6,true
19,1,8.026373443125346e-7,true
20,2,1.6052746886250692e-6,true
21,1,8.026373443125346e-7,true
22,3,2.407912032937604e-6,true
24,5,4.013186721562673e-6,true
26,2,1.6052746886250692e-6,true
27,2,1.6052746886250692e-6,true
28,2,1.6052746886250692e-6,true
29,1,8.026373443125346e-7,true
30,3,2.407912032937604e-6,true
33,3,2.407912032937604e-6,true
34,1,8.026373443125346e-7,true
36,2,1.6052746886250692e-6,true
37,1,8.026373443125346e-7,true
38,2,1.6052746886250692e-6,true
41,3,2.407912032937604e-6,true
42,3,2.407912032937604e-6,true
43,1,8.026373443125346e-7,true
44,2,1.6052746886250692e-6,true
53,1,8.026373443125346e-7,true
56,1,8.026373443125346e-7,true
63,1,8.026373443125346e-7,true
69,1,8.026373443125346e-7,true
72,1,8.026373443125346e-7,true
82,2,1.6052746886250692e-6,true
84,1,8.026373443125346e-7,true
88,3,2.407912032937604e-6,true
92,1,8.026373443125346e-7,true
99,11,8.829010787437881e-6,true
100,1,8.026373443125346e-7,true
110,17,0.00001364483485331309,true
121,5,4.013186721562673e-6,true
126,4,3.2105493772501384e-6,true
132,2,1.6052746886250692e-6,true
141,1,8.026373443125346e-7,true
154,5,4.013186721562673e-6,true
168,3,2.407912032937604e-6,true
176,11,8.829010787437881e-6,true
194,1,8.026373443125346e-7,true
198,16,0.000012842197509000554,true
220,26,0.0000208685709521259,true
223,1,8.026373443125346e-7,true
263,1,8.026373443125346e-7,true
276,1,8.026373443125346e-7,true
306,1,8.026373443125346e-7,true
307,1,8.026373443125346e-7,true
326,1,8.026373443125346e-7,true
327,1,8.026373443125346e-7,true
346,1,8.026373443125346e-7,true
347,1,8.026373443125346e-7,true
367,1,8.026373443125346e-7,true
427,1,8.026373443125346e-7,true
446,1,8.026373443125346e-7,true
465,1,8.026373443125346e-7,true
485,1,8.026373443125346e-7,true
505,1,8.026373443125346e-7,true
506,1,8.026373443125346e-7,true
609,1,8.026373443125346e-7,true
