atom_count,record_count,percent_of_profiled_records,contains_target
0,124579041,99.99179062524237,false
1,8709,0.0069901686316178645,true
2,1013,0.0008130716297885975,true
3,195,0.00015651428214094427,true
4,147,0.0001179876896139426,true
5,28,0.00002247384564075097,true
6,69,0.00005538197675756489,true
7,16,0.000012842197509000554,true
8,12,9.631648131750416e-6,true
9,12,9.631648131750416e-6,true
10,7,5.618461410187742e-6,true
11,4,3.2105493772501384e-6,true
12,5,4.013186721562673e-6,true
13,3,2.407912032937604e-6,true
16,4,3.2105493772501384e-6,true
25,1,8.026373443125346e-7,true
26,1,8.026373443125346e-7,true
68,1,8.026373443125346e-7,true
87,1,8.026373443125346e-7,true
