atom_count,record_count,percent_of_profiled_records,contains_target
0,124584027,99.99579257504111,false
1,3434,0.002756256640369244,true
2,785,0.0006300703152853397,true
3,359,0.00028814680660819997,true
4,206,0.00016534329292838213,true
5,90,0.00007223736098812812,true
6,124,0.0000995270306947543,true
7,29,0.000023276482985063506,true
8,35,0.00002809230705093871,true
9,22,0.000017658021574875762,true
10,11,8.829010787437881e-6,true
11,15,0.00001203956016468802,true
12,20,0.000016052746886250693,true
13,3,2.407912032937604e-6,true
14,13,0.00001043428547606295,true
15,5,4.013186721562673e-6,true
16,4,3.2105493772501384e-6,true
17,5,4.013186721562673e-6,true
18,6,4.815824065875208e-6,true
19,3,2.407912032937604e-6,true
20,4,3.2105493772501384e-6,true
21,2,1.6052746886250692e-6,true
22,4,3.2105493772501384e-6,true
23,1,8.026373443125346e-7,true
24,5,4.013186721562673e-6,true
25,2,1.6052746886250692e-6,true
26,2,1.6052746886250692e-6,true
27,1,8.026373443125346e-7,true
28,2,1.6052746886250692e-6,true
29,1,8.026373443125346e-7,true
31,1,8.026373443125346e-7,true
32,1,8.026373443125346e-7,true
33,1,8.026373443125346e-7,true
34,1,8.026373443125346e-7,true
35,2,1.6052746886250692e-6,true
36,2,1.6052746886250692e-6,true
37,1,8.026373443125346e-7,true
38,1,8.026373443125346e-7,true
39,2,1.6052746886250692e-6,true
40,1,8.026373443125346e-7,true
41,1,8.026373443125346e-7,true
42,1,8.026373443125346e-7,true
43,1,8.026373443125346e-7,true
44,1,8.026373443125346e-7,true
45,1,8.026373443125346e-7,true
46,1,8.026373443125346e-7,true
47,1,8.026373443125346e-7,true
48,1,8.026373443125346e-7,true
49,1,8.026373443125346e-7,true
50,1,8.026373443125346e-7,true
51,1,8.026373443125346e-7,true
52,1,8.026373443125346e-7,true
53,1,8.026373443125346e-7,true
54,1,8.026373443125346e-7,true
55,1,8.026373443125346e-7,true
56,2,1.6052746886250692e-6,true
57,1,8.026373443125346e-7,true
58,1,8.026373443125346e-7,true
59,2,1.6052746886250692e-6,true
61,1,8.026373443125346e-7,true
62,1,8.026373443125346e-7,true
63,1,8.026373443125346e-7,true
64,1,8.026373443125346e-7,true
65,2,1.6052746886250692e-6,true
153,1,8.026373443125346e-7,true
167,1,8.026373443125346e-7,true
187,1,8.026373443125346e-7,true
198,1,8.026373443125346e-7,true
213,1,8.026373443125346e-7,true
233,1,8.026373443125346e-7,true
247,1,8.026373443125346e-7,true
280,1,8.026373443125346e-7,true
417,1,8.026373443125346e-7,true
