atom_count,record_count,percent_of_formula_records,contains_target
0,123912540,99.98803089290047,false
1,11676,0.00942164730628156,true
2,2394,0.0019317766059642047,true
3,249,0.0002009241332017907,true
4,310,0.0002501465112150808,true
5,71,0.000057291620310550766,true
6,60,0.000048415453783564025,true
7,14,0.000011296939216164938,true
8,26,0.000020980029972877745,true
9,1,8.069242297260671e-7,true
10,4,3.2276969189042683e-6,true
11,6,4.841545378356402e-6,true
12,8,6.455393837808537e-6,true
13,6,4.841545378356402e-6,true
15,2,1.6138484594521342e-6,true
16,2,1.6138484594521342e-6,true
18,1,8.069242297260671e-7,true
123,3,2.420772689178201e-6,true
