atom_count,record_count,percent_of_profiled_records,contains_target
0,124550014,99.968492471049,false
1,32959,0.02645412423119683,true
2,3525,0.0028292966387016847,true
3,935,0.0007504659169322199,true
4,638,0.0005120826256713971,true
5,418,0.0003355024099226395,true
6,494,0.00039650284809039215,true
7,112,0.00008989538256300388,true
8,105,0.00008427692115281614,true
9,30,0.00002407912032937604,true
10,10,8.026373443125347e-6,true
11,6,4.815824065875208e-6,true
12,4,3.2105493772501384e-6,true
13,4,3.2105493772501384e-6,true
14,1,8.026373443125346e-7,true
15,3,2.407912032937604e-6,true
16,1,8.026373443125346e-7,true
20,1,8.026373443125346e-7,true
21,2,1.6052746886250692e-6,true
22,2,1.6052746886250692e-6,true
23,1,8.026373443125346e-7,true
24,2,1.6052746886250692e-6,true
75,2,1.6052746886250692e-6,true
