atom_count,record_count,percent_of_profiled_records,contains_target
0,88270276,70.84901991037447,false
1,29136883,23.386350392665037,true
2,5759052,4.622430203037791,true
3,757171,0.6077337206304662,true
4,303621,0.2436975531175161,true
5,90733,0.0728256941615092,true
6,99220,0.07963767730268968,true
7,35180,0.02823678177291497,true
8,44136,0.03542520182857803,true
9,16416,0.01317609464423457,true
10,17753,0.014249220773580429,true
11,7024,0.005637724706451243,true
12,14463,0.011608543910792189,true
13,4719,0.003787645627810851,true
14,5679,0.004558177478350884,true
15,3442,0.0027626777391237443,true
16,5015,0.004025226281727362,true
17,1688,0.0013548518371995584,true
18,2800,0.002247384564075097,true
19,1461,0.0011726531600406132,true
20,1977,0.001586814029705881,true
21,1016,0.0008154795418215352,true
22,1025,0.0008227032779203481,true
23,543,0.0004358320779617063,true
24,1442,0.0011574030504986751,true
25,427,0.0003427261460214523,true
26,495,0.0003973054854347046,true
27,400,0.00032105493772501383,true
28,516,0.0004141608696652679,true
29,242,0.00019423823732363338,true
30,401,0.00032185757506932635,true
31,179,0.0001436720846319437,true
32,347,0.00027851515847644953,true
33,187,0.00015009318338644398,true
34,188,0.0001508958207307565,true
35,149,0.00011959296430256766,true
36,280,0.00022473845640750967,true
37,111,0.00008909274521869134,true
38,117,0.00009390856928456656,true
39,98,0.0000786584597426284,true
40,168,0.0001348430738445058,true
41,68,0.00005457933941325236,true
42,99,0.00007946109708694093,true
43,75,0.0000601978008234401,true
44,78,0.0000626057128563777,true
45,82,0.00006581626223362783,true
46,47,0.00003772395518268913,true
47,43,0.00003451340580543899,true
48,79,0.00006340835020069024,true
49,40,0.00003210549377250139,true
50,70,0.00005618461410187742,true
51,49,0.0000393292298713142,true
52,41,0.000032908131116813916,true
53,36,0.00002889494439525125,true
54,31,0.000024881757673688575,true
55,34,0.00002728966970662618,true
56,31,0.000024881757673688575,true
57,30,0.00002407912032937604,true
58,25,0.000020065933607813364,true
59,26,0.0000208685709521259,true
60,35,0.00002809230705093871,true
61,23,0.0000184606589191883,true
62,28,0.00002247384564075097,true
63,40,0.00003210549377250139,true
64,35,0.00002809230705093871,true
65,23,0.0000184606589191883,true
66,26,0.0000208685709521259,true
67,29,0.000023276482985063506,true
68,18,0.000014447472197625624,true
69,30,0.00002407912032937604,true
70,19,0.000015250109541938157,true
71,17,0.00001364483485331309,true
72,24,0.00001926329626350083,true
73,17,0.00001364483485331309,true
74,15,0.00001203956016468802,true
75,20,0.000016052746886250693,true
76,20,0.000016052746886250693,true
77,20,0.000016052746886250693,true
78,18,0.000014447472197625624,true
79,19,0.000015250109541938157,true
80,16,0.000012842197509000554,true
81,18,0.000014447472197625624,true
82,10,8.026373443125347e-6,true
83,23,0.0000184606589191883,true
84,10,8.026373443125347e-6,true
85,8,6.421098754500277e-6,true
86,20,0.000016052746886250693,true
87,21,0.000016855384230563226,true
88,23,0.0000184606589191883,true
89,7,5.618461410187742e-6,true
90,13,0.00001043428547606295,true
91,20,0.000016052746886250693,true
92,15,0.00001203956016468802,true
93,15,0.00001203956016468802,true
94,6,4.815824065875208e-6,true
95,13,0.00001043428547606295,true
96,8,6.421098754500277e-6,true
97,10,8.026373443125347e-6,true
98,10,8.026373443125347e-6,true
99,19,0.000015250109541938157,true
100,26,0.0000208685709521259,true
101,32,0.000025684395018001108,true
102,24,0.00001926329626350083,true
103,39,0.00003130285642818885,true
104,19,0.000015250109541938157,true
105,22,0.000017658021574875762,true
106,18,0.000014447472197625624,true
107,20,0.000016052746886250693,true
108,24,0.00001926329626350083,true
109,17,0.00001364483485331309,true
110,9,7.223736098812812e-6,true
111,15,0.00001203956016468802,true
112,16,0.000012842197509000554,true
113,12,9.631648131750416e-6,true
114,7,5.618461410187742e-6,true
115,7,5.618461410187742e-6,true
116,10,8.026373443125347e-6,true
117,10,8.026373443125347e-6,true
118,24,0.00001926329626350083,true
119,7,5.618461410187742e-6,true
120,11,8.829010787437881e-6,true
121,8,6.421098754500277e-6,true
122,10,8.026373443125347e-6,true
123,6,4.815824065875208e-6,true
124,6,4.815824065875208e-6,true
125,12,9.631648131750416e-6,true
126,11,8.829010787437881e-6,true
127,10,8.026373443125347e-6,true
128,8,6.421098754500277e-6,true
129,6,4.815824065875208e-6,true
130,1,8.026373443125346e-7,true
131,4,3.2105493772501384e-6,true
133,3,2.407912032937604e-6,true
137,1,8.026373443125346e-7,true
139,1,8.026373443125346e-7,true
140,3,2.407912032937604e-6,true
147,3,2.407912032937604e-6,true
148,3,2.407912032937604e-6,true
149,2,1.6052746886250692e-6,true
151,3,2.407912032937604e-6,true
152,2,1.6052746886250692e-6,true
153,2,1.6052746886250692e-6,true
162,1,8.026373443125346e-7,true
193,2,1.6052746886250692e-6,true
203,1,8.026373443125346e-7,true
210,1,8.026373443125346e-7,true
213,1,8.026373443125346e-7,true
225,1,8.026373443125346e-7,true
242,1,8.026373443125346e-7,true
248,1,8.026373443125346e-7,true
252,1,8.026373443125346e-7,true
