atom_count,record_count,percent_of_formula_records,contains_target
1,15986,84.07047068104129,true
2,2022,10.633710228766763,true
3,385,2.0247173284249276,true
4,235,1.2358664212463844,true
5,59,0.31028135682356034,true
6,243,1.27793846962924,true
7,24,0.12621614514856694,true
8,29,0.1525111753878517,true
9,9,0.047331054430712595,true
10,5,0.026295030239284777,true
11,3,0.015777018143570867,true
12,2,0.01051801209571391,true
16,1,0.005259006047856955,true
18,3,0.015777018143570867,true
20,2,0.01051801209571391,true
21,1,0.005259006047856955,true
22,1,0.005259006047856955,true
28,1,0.005259006047856955,true
36,3,0.015777018143570867,true
43,1,0.005259006047856955,true
