atom_count,record_count,percent_of_profiled_records,contains_target
0,124585744,99.99717070336129,false
1,3172,0.00254596565615936,true
2,233,0.00018701450122482057,true
3,41,0.000032908131116813916,true
4,43,0.00003451340580543899,true
5,16,0.000012842197509000554,true
6,5,4.013186721562673e-6,true
7,4,3.2105493772501384e-6,true
8,1,8.026373443125346e-7,true
9,3,2.407912032937604e-6,true
10,1,8.026373443125346e-7,true
11,1,8.026373443125346e-7,true
12,2,1.6052746886250692e-6,true
14,1,8.026373443125346e-7,true
16,1,8.026373443125346e-7,true
18,1,8.026373443125346e-7,true
