atom_count,record_count,percent_of_formula_records,contains_target
0,123809259,99.90469095153014,false
1,95196,0.07681595897300268,true
2,16513,0.013324739805466545,true
3,2544,0.0020528152404231145,true
4,2133,0.0017211693820057012,true
5,405,0.0003268043130390571,true
6,580,0.0004680160532411189,true
7,103,0.00008311319566178491,true
8,309,0.00024933958698535475,true
9,55,0.00004438083263493369,true
10,62,0.000050029302243016156,true
11,25,0.000020173105743151677,true
12,76,0.0000613262414591811,true
13,12,9.683090756712804e-6,true
14,19,0.000015331560364795276,true
15,10,8.06924229726067e-6,true
16,21,0.00001694540882424741,true
17,2,1.6138484594521342e-6,true
18,7,5.648469608082469e-6,true
19,4,3.2276969189042683e-6,true
20,10,8.06924229726067e-6,true
21,3,2.420772689178201e-6,true
22,1,8.069242297260671e-7,true
23,4,3.2276969189042683e-6,true
24,4,3.2276969189042683e-6,true
25,3,2.420772689178201e-6,true
26,2,1.6138484594521342e-6,true
27,2,1.6138484594521342e-6,true
28,1,8.069242297260671e-7,true
30,1,8.069242297260671e-7,true
32,1,8.069242297260671e-7,true
36,3,2.420772689178201e-6,true
38,1,8.069242297260671e-7,true
50,1,8.069242297260671e-7,true
96,1,8.069242297260671e-7,true
