atom_count,record_count,percent_of_profiled_records,contains_target
0,124589132,99.99989003868383,false
1,82,0.00006581626223362783,true
2,21,0.000016855384230563226,true
3,5,4.013186721562673e-6,true
4,4,3.2105493772501384e-6,true
5,2,1.6052746886250692e-6,true
6,4,3.2105493772501384e-6,true
7,4,3.2105493772501384e-6,true
8,2,1.6052746886250692e-6,true
9,1,8.026373443125346e-7,true
10,2,1.6052746886250692e-6,true
12,2,1.6052746886250692e-6,true
15,1,8.026373443125346e-7,true
20,1,8.026373443125346e-7,true
21,3,2.407912032937604e-6,true
24,3,2.407912032937604e-6,true
