atom_count,record_count,percent_of_formula_records,contains_target
1,1333054,73.7562369354944,true
2,285730,15.80908918886918,true
3,71474,3.9545684411340627,true
4,52722,2.9170433633694777,true
5,15480,0.8564893453389386,true
6,14939,0.8265564812673386,true
7,5062,0.28007422907659607,true
8,9008,0.49840155186131513,true
9,2989,0.16537769077636222,true
10,3384,0.18723255456246563,true
11,1147,0.06346209813331799,true
12,2531,0.14003711453829804,true
13,955,0.052838974470199376,true
14,950,0.052562330624805656,true
15,673,0.0372362615899939,true
16,1431,0.07917546855168094,true
17,402,0.022242165169654604,true
18,588,0.032533316218300766,true
19,252,0.013942849807843187,true
20,565,0.03126075452948968,true
21,254,0.014053507346000669,true
22,231,0.012780945657189588,true
23,154,0.00852063043812639,true
24,397,0.02196552132426089,true
25,134,0.007414055056551534,true
26,217,0.012006342890087188,true
27,148,0.008188657823653933,true
28,177,0.009793192126937475,true
29,81,0.004481630295378167,true
30,169,0.009350561974307533,true
31,103,0.005698863215110508,true
32,233,0.012891603195347072,true
33,53,0.0029324247611733686,true
34,75,0.00414965768090571,true
35,52,0.0028770959920946257,true
36,107,0.005920178291425479,true
37,39,0.002157821994070969,true
38,44,0.0024344658394646833,true
39,43,0.0023791370703859405,true
40,92,0.005090246755244337,true
41,54,0.002987753530252111,true
42,113,0.006252150905897935,true
43,20,0.001106575381574856,true
44,38,0.0021024932249922262,true
45,58,0.003209068606567082,true
46,41,0.0022684795322284548,true
47,34,0.0018811781486772552,true
48,44,0.0024344658394646833,true
49,29,0.001604534303283541,true
50,53,0.0029324247611733686,true
51,26,0.0014385479960473129,true
52,63,0.0034857124519607967,true
53,11,0.0006086164598661708,true
54,21,0.0011619041506535988,true
55,20,0.001106575381574856,true
56,12,0.0006639452289449136,true
57,11,0.0006086164598661708,true
58,25,0.00138321922696857,true
59,10,0.000553287690787428,true
60,24,0.0013278904578898272,true
61,29,0.001604534303283541,true
62,47,0.0026004521467009115,true
63,16,0.0008852603052598848,true
64,10,0.000553287690787428,true
65,38,0.0021024932249922262,true
66,14,0.0007746027671023993,true
67,16,0.0008852603052598848,true
68,18,0.0009959178434173705,true
69,10,0.000553287690787428,true
70,15,0.0008299315361811419,true
71,5,0.000276643845393714,true
72,7,0.00038730138355119964,true
73,6,0.0003319726144724568,true
74,10,0.000553287690787428,true
75,7,0.00038730138355119964,true
76,10,0.000553287690787428,true
77,27,0.0014938767651260555,true
78,3,0.0001659863072362284,true
79,3,0.0001659863072362284,true
80,11,0.0006086164598661708,true
81,5,0.000276643845393714,true
82,20,0.001106575381574856,true
83,4,0.0002213150763149712,true
84,12,0.0006639452289449136,true
85,10,0.000553287690787428,true
86,2,0.0001106575381574856,true
87,6,0.0003319726144724568,true
88,14,0.0007746027671023993,true
89,1,0.0000553287690787428,true
90,3,0.0001659863072362284,true
91,3,0.0001659863072362284,true
92,19,0.0010512466124961131,true
94,1,0.0000553287690787428,true
95,1,0.0000553287690787428,true
96,2,0.0001106575381574856,true
97,1,0.0000553287690787428,true
98,1,0.0000553287690787428,true
99,1,0.0000553287690787428,true
100,9,0.0004979589217086852,true
101,6,0.0003319726144724568,true
102,5,0.000276643845393714,true
103,1,0.0000553287690787428,true
104,5,0.000276643845393714,true
106,3,0.0001659863072362284,true
107,2,0.0001106575381574856,true
108,2,0.0001106575381574856,true
109,2,0.0001106575381574856,true
110,2,0.0001106575381574856,true
111,2,0.0001106575381574856,true
112,1,0.0000553287690787428,true
113,1,0.0000553287690787428,true
115,2,0.0001106575381574856,true
116,1,0.0000553287690787428,true
121,1,0.0000553287690787428,true
122,2,0.0001106575381574856,true
125,1,0.0000553287690787428,true
126,2,0.0001106575381574856,true
127,2,0.0001106575381574856,true
135,2,0.0001106575381574856,true
137,1,0.0000553287690787428,true
138,2,0.0001106575381574856,true
142,3,0.0001659863072362284,true
146,2,0.0001106575381574856,true
147,2,0.0001106575381574856,true
148,2,0.0001106575381574856,true
151,1,0.0000553287690787428,true
152,2,0.0001106575381574856,true
160,2,0.0001106575381574856,true
162,2,0.0001106575381574856,true
164,3,0.0001659863072362284,true
170,2,0.0001106575381574856,true
171,2,0.0001106575381574856,true
172,2,0.0001106575381574856,true
174,3,0.0001659863072362284,true
176,2,0.0001106575381574856,true
181,2,0.0001106575381574856,true
188,3,0.0001659863072362284,true
189,2,0.0001106575381574856,true
190,2,0.0001106575381574856,true
192,2,0.0001106575381574856,true
215,2,0.0001106575381574856,true
232,1,0.0000553287690787428,true
240,1,0.0000553287690787428,true
244,3,0.0001659863072362284,true
245,1,0.0000553287690787428,true
249,1,0.0000553287690787428,true
250,2,0.0001106575381574856,true
251,1,0.0000553287690787428,true
323,1,0.0000553287690787428,true
328,1,0.0000553287690787428,true
402,3,0.0001659863072362284,true
403,1,0.0000553287690787428,true
410,3,0.0001659863072362284,true
427,2,0.0001106575381574856,true
431,1,0.0000553287690787428,true
440,2,0.0001106575381574856,true
