atom_count,record_count,percent_of_profiled_records,contains_target
0,124585906,99.99730073061107,false
1,2910,0.002335674671949476,true
2,342,0.00027450197175488686,true
3,30,0.00002407912032937604,true
4,41,0.000032908131116813916,true
5,12,9.631648131750416e-6,true
6,7,5.618461410187742e-6,true
7,1,8.026373443125346e-7,true
8,5,4.013186721562673e-6,true
9,3,2.407912032937604e-6,true
12,1,8.026373443125346e-7,true
14,3,2.407912032937604e-6,true
16,2,1.6052746886250692e-6,true
28,1,8.026373443125346e-7,true
40,2,1.6052746886250692e-6,true
44,2,1.6052746886250692e-6,true
250,1,8.026373443125346e-7,true
