atom_count,record_count,percent_of_profiled_records,contains_target
0,124479958,99.91226290925586,false
1,95528,0.07667434022748781,true
2,11314,0.009081038913552017,true
3,1302,0.0010450338222949202,true
4,680,0.0005457933941325235,true
5,157,0.00012601406305706793,true
6,143,0.00011477714023669246,true
7,45,0.00003611868049406406,true
8,38,0.000030500219083876315,true
9,21,0.000016855384230563226,true
10,18,0.000014447472197625624,true
11,7,5.618461410187742e-6,true
12,17,0.00001364483485331309,true
13,2,1.6052746886250692e-6,true
15,4,3.2105493772501384e-6,true
16,4,3.2105493772501384e-6,true
17,7,5.618461410187742e-6,true
18,14,0.000011236922820375485,true
19,1,8.026373443125346e-7,true
20,2,1.6052746886250692e-6,true
24,2,1.6052746886250692e-6,true
25,1,8.026373443125346e-7,true
26,1,8.026373443125346e-7,true
28,2,1.6052746886250692e-6,true
39,1,8.026373443125346e-7,true
