atom_count,record_count,percent_of_formula_records,contains_target
1,7416,89.61933534743203,true
2,554,6.694864048338369,true
3,171,2.066465256797583,true
4,41,0.4954682779456193,true
5,42,0.5075528700906344,true
6,10,0.12084592145015105,true
7,9,0.10876132930513595,true
8,5,0.060422960725075525,true
9,8,0.09667673716012085,true
11,1,0.012084592145015106,true
12,5,0.060422960725075525,true
14,1,0.012084592145015106,true
16,1,0.012084592145015106,true
18,1,0.012084592145015106,true
20,1,0.012084592145015106,true
21,1,0.012084592145015106,true
22,1,0.012084592145015106,true
32,1,0.012084592145015106,true
35,1,0.012084592145015106,true
40,1,0.012084592145015106,true
42,2,0.02416918429003021,true
93,1,0.012084592145015106,true
95,1,0.012084592145015106,true
