atom_count,record_count,percent_of_profiled_records,contains_target
0,124583530,99.99539366428098,false
1,5062,0.00406295023691005,true
2,397,0.00031864702569207626,true
3,95,0.00007625054770969079,true
4,40,0.00003210549377250139,true
5,40,0.00003210549377250139,true
6,40,0.00003210549377250139,true
7,19,0.000015250109541938157,true
8,11,8.829010787437881e-6,true
9,4,3.2105493772501384e-6,true
10,9,7.223736098812812e-6,true
11,4,3.2105493772501384e-6,true
12,7,5.618461410187742e-6,true
13,3,2.407912032937604e-6,true
14,3,2.407912032937604e-6,true
15,4,3.2105493772501384e-6,true
20,1,8.026373443125346e-7,true
