atom_count,record_count,percent_of_profiled_records,contains_target
0,124586152,99.99749817939778,false
1,2525,0.00202665929438915,true
2,332,0.00026647559831176153,true
3,36,0.00002889494439525125,true
4,57,0.000045750328625814475,true
5,9,7.223736098812812e-6,true
6,8,6.421098754500277e-6,true
7,2,1.6052746886250692e-6,true
8,7,5.618461410187742e-6,true
9,6,4.815824065875208e-6,true
10,1,8.026373443125346e-7,true
13,4,3.2105493772501384e-6,true
15,2,1.6052746886250692e-6,true
44,3,2.407912032937604e-6,true
50,1,8.026373443125346e-7,true
51,1,8.026373443125346e-7,true
52,2,1.6052746886250692e-6,true
53,2,1.6052746886250692e-6,true
54,1,8.026373443125346e-7,true
55,3,2.407912032937604e-6,true
56,2,1.6052746886250692e-6,true
57,2,1.6052746886250692e-6,true
58,2,1.6052746886250692e-6,true
59,2,1.6052746886250692e-6,true
60,2,1.6052746886250692e-6,true
61,2,1.6052746886250692e-6,true
62,1,8.026373443125346e-7,true
63,1,8.026373443125346e-7,true
64,1,8.026373443125346e-7,true
65,1,8.026373443125346e-7,true
66,1,8.026373443125346e-7,true
67,1,8.026373443125346e-7,true
68,1,8.026373443125346e-7,true
69,2,1.6052746886250692e-6,true
70,1,8.026373443125346e-7,true
71,1,8.026373443125346e-7,true
72,1,8.026373443125346e-7,true
73,2,1.6052746886250692e-6,true
74,1,8.026373443125346e-7,true
75,1,8.026373443125346e-7,true
76,1,8.026373443125346e-7,true
77,1,8.026373443125346e-7,true
78,3,2.407912032937604e-6,true
79,1,8.026373443125346e-7,true
80,1,8.026373443125346e-7,true
81,2,1.6052746886250692e-6,true
82,1,8.026373443125346e-7,true
83,1,8.026373443125346e-7,true
84,2,1.6052746886250692e-6,true
85,2,1.6052746886250692e-6,true
86,2,1.6052746886250692e-6,true
87,1,8.026373443125346e-7,true
88,2,1.6052746886250692e-6,true
89,2,1.6052746886250692e-6,true
90,1,8.026373443125346e-7,true
91,2,1.6052746886250692e-6,true
92,2,1.6052746886250692e-6,true
93,1,8.026373443125346e-7,true
94,2,1.6052746886250692e-6,true
95,2,1.6052746886250692e-6,true
96,2,1.6052746886250692e-6,true
97,1,8.026373443125346e-7,true
98,2,1.6052746886250692e-6,true
99,1,8.026373443125346e-7,true
100,1,8.026373443125346e-7,true
101,2,1.6052746886250692e-6,true
102,1,8.026373443125346e-7,true
103,1,8.026373443125346e-7,true
104,1,8.026373443125346e-7,true
105,1,8.026373443125346e-7,true
106,1,8.026373443125346e-7,true
107,1,8.026373443125346e-7,true
108,1,8.026373443125346e-7,true
109,1,8.026373443125346e-7,true
114,2,1.6052746886250692e-6,true
117,2,1.6052746886250692e-6,true
118,1,8.026373443125346e-7,true
119,2,1.6052746886250692e-6,true
120,2,1.6052746886250692e-6,true
125,1,8.026373443125346e-7,true
126,1,8.026373443125346e-7,true
127,1,8.026373443125346e-7,true
128,1,8.026373443125346e-7,true
129,2,1.6052746886250692e-6,true
130,1,8.026373443125346e-7,true
131,1,8.026373443125346e-7,true
132,1,8.026373443125346e-7,true
145,1,8.026373443125346e-7,true
149,1,8.026373443125346e-7,true
153,1,8.026373443125346e-7,true
159,2,1.6052746886250692e-6,true
187,1,8.026373443125346e-7,true
191,1,8.026373443125346e-7,true
195,1,8.026373443125346e-7,true
201,1,8.026373443125346e-7,true
210,1,8.026373443125346e-7,true
213,1,8.026373443125346e-7,true
217,1,8.026373443125346e-7,true
235,1,8.026373443125346e-7,true
246,1,8.026373443125346e-7,true
249,1,8.026373443125346e-7,true
255,1,8.026373443125346e-7,true
259,1,8.026373443125346e-7,true
263,1,8.026373443125346e-7,true
270,1,8.026373443125346e-7,true
300,1,8.026373443125346e-7,true
