atom_count,record_count,percent_of_formula_records,contains_target
0,123906954,99.98352341415323,false
1,17149,0.013837943615572324,true
2,2371,0.001913217348680505,true
3,331,0.0002670919200393282,true
4,246,0.00019850336051261249,true
5,74,0.000059712392999728965,true
6,109,0.00008795474104014131,true
7,13,0.000010490014986438873,true
8,46,0.000037118514567399086,true
9,17,0.000013717711905343138,true
10,13,0.000010490014986438873,true
11,2,1.6138484594521342e-6,true
12,16,0.000012910787675617073,true
13,4,3.2276969189042683e-6,true
14,10,8.06924229726067e-6,true
15,5,4.034621148630335e-6,true
16,7,5.648469608082469e-6,true
19,2,1.6138484594521342e-6,true
20,1,8.069242297260671e-7,true
25,2,1.6138484594521342e-6,true
131,1,8.069242297260671e-7,true
