atom_count,record_count,percent_of_profiled_records,contains_target
0,124511286,99.93740793197847,false
1,71610,0.0574768602262206,true
2,3740,0.0030018636677288796,true
3,942,0.0007560843783424076,true
4,523,0.0004197793310754556,true
5,371,0.00029777845473995035,true
6,380,0.00030500219083876316,true
7,85,0.00006822417426656544,true
8,116,0.00009310593194025402,true
9,37,0.000029697581739563785,true
10,77,0.00006180307551206517,true
11,13,0.00001043428547606295,true
12,25,0.000020065933607813364,true
13,6,4.815824065875208e-6,true
14,7,5.618461410187742e-6,true
15,5,4.013186721562673e-6,true
16,4,3.2105493772501384e-6,true
17,6,4.815824065875208e-6,true
18,3,2.407912032937604e-6,true
20,5,4.013186721562673e-6,true
24,1,8.026373443125346e-7,true
25,3,2.407912032937604e-6,true
26,1,8.026373443125346e-7,true
28,2,1.6052746886250692e-6,true
29,1,8.026373443125346e-7,true
30,1,8.026373443125346e-7,true
31,1,8.026373443125346e-7,true
33,1,8.026373443125346e-7,true
36,1,8.026373443125346e-7,true
40,2,1.6052746886250692e-6,true
41,1,8.026373443125346e-7,true
42,1,8.026373443125346e-7,true
48,1,8.026373443125346e-7,true
50,2,1.6052746886250692e-6,true
52,1,8.026373443125346e-7,true
61,1,8.026373443125346e-7,true
80,1,8.026373443125346e-7,true
82,1,8.026373443125346e-7,true
90,1,8.026373443125346e-7,true
91,1,8.026373443125346e-7,true
94,1,8.026373443125346e-7,true
500,2,1.6052746886250692e-6,true
