atom_count,record_count,percent_of_formula_records,contains_target
0,123906172,99.98289239940557,false
1,18151,0.014646481693757844,true
2,1580,0.001274940282967186,true
3,509,0.0004107244329305681,true
4,309,0.00024933958698535475,true
5,138,0.00011135554370219724,true
6,117,0.00009441013487794985,true
7,48,0.000038732363026851216,true
8,35,0.00002824234804041235,true
9,32,0.000025821575351234146,true
10,25,0.000020173105743151677,true
11,12,9.683090756712804e-6,true
12,23,0.000018559257283699543,true
13,11,8.876166526986737e-6,true
14,11,8.876166526986737e-6,true
15,21,0.00001694540882424741,true
16,11,8.876166526986737e-6,true
17,3,2.420772689178201e-6,true
18,8,6.455393837808537e-6,true
19,5,4.034621148630335e-6,true
20,7,5.648469608082469e-6,true
21,7,5.648469608082469e-6,true
22,2,1.6138484594521342e-6,true
23,2,1.6138484594521342e-6,true
24,7,5.648469608082469e-6,true
25,4,3.2276969189042683e-6,true
26,2,1.6138484594521342e-6,true
27,11,8.876166526986737e-6,true
28,10,8.06924229726067e-6,true
29,6,4.841545378356402e-6,true
30,3,2.420772689178201e-6,true
31,2,1.6138484594521342e-6,true
32,2,1.6138484594521342e-6,true
33,2,1.6138484594521342e-6,true
34,5,4.034621148630335e-6,true
35,2,1.6138484594521342e-6,true
36,4,3.2276969189042683e-6,true
37,2,1.6138484594521342e-6,true
38,1,8.069242297260671e-7,true
39,2,1.6138484594521342e-6,true
40,1,8.069242297260671e-7,true
42,1,8.069242297260671e-7,true
44,2,1.6138484594521342e-6,true
45,5,4.034621148630335e-6,true
46,2,1.6138484594521342e-6,true
47,2,1.6138484594521342e-6,true
48,1,8.069242297260671e-7,true
49,1,8.069242297260671e-7,true
50,1,8.069242297260671e-7,true
51,2,1.6138484594521342e-6,true
56,2,1.6138484594521342e-6,true
57,1,8.069242297260671e-7,true
58,1,8.069242297260671e-7,true
59,1,8.069242297260671e-7,true
60,1,8.069242297260671e-7,true
61,1,8.069242297260671e-7,true
75,1,8.069242297260671e-7,true
78,1,8.069242297260671e-7,true
79,1,8.069242297260671e-7,true
80,1,8.069242297260671e-7,true
85,1,8.069242297260671e-7,true
86,1,8.069242297260671e-7,true
87,1,8.069242297260671e-7,true
88,1,8.069242297260671e-7,true
95,1,8.069242297260671e-7,true
99,1,8.069242297260671e-7,true
101,2,1.6138484594521342e-6,true
114,2,1.6138484594521342e-6,true
126,4,3.2276969189042683e-6,true
128,2,1.6138484594521342e-6,true
129,1,8.069242297260671e-7,true
131,1,8.069242297260671e-7,true
135,1,8.069242297260671e-7,true
141,3,2.420772689178201e-6,true
142,1,8.069242297260671e-7,true
151,1,8.069242297260671e-7,true
152,1,8.069242297260671e-7,true
153,1,8.069242297260671e-7,true
158,1,8.069242297260671e-7,true
167,1,8.069242297260671e-7,true
174,1,8.069242297260671e-7,true
192,1,8.069242297260671e-7,true
200,1,8.069242297260671e-7,true
204,1,8.069242297260671e-7,true
205,1,8.069242297260671e-7,true
207,1,8.069242297260671e-7,true
208,1,8.069242297260671e-7,true
211,1,8.069242297260671e-7,true
251,2,1.6138484594521342e-6,true
282,1,8.069242297260671e-7,true
309,1,8.069242297260671e-7,true
