atom_count,record_count,percent_of_profiled_records,contains_target
0,124549398,99.96799804644492,false
1,31385,0.025190773051248897,true
2,4607,0.003697750245247847,true
3,1651,0.0013251542554599946,true
4,636,0.0005104773509827721,true
5,306,0.0002456070273596356,true
6,289,0.00023196219250632251,true
7,131,0.00010514549210494204,true
8,117,0.00009390856928456656,true
9,60,0.00004815824065875208,true
10,171,0.00013725098587744343,true
11,29,0.000023276482985063506,true
12,53,0.00004253977924856434,true
13,20,0.000016052746886250693,true
14,22,0.000017658021574875762,true
15,25,0.000020065933607813364,true
16,20,0.000016052746886250693,true
17,4,3.2105493772501384e-6,true
18,7,5.618461410187742e-6,true
19,5,4.013186721562673e-6,true
20,12,9.631648131750416e-6,true
21,13,0.00001043428547606295,true
22,5,4.013186721562673e-6,true
23,5,4.013186721562673e-6,true
24,7,5.618461410187742e-6,true
25,5,4.013186721562673e-6,true
26,3,2.407912032937604e-6,true
27,8,6.421098754500277e-6,true
28,8,6.421098754500277e-6,true
29,5,4.013186721562673e-6,true
30,8,6.421098754500277e-6,true
31,5,4.013186721562673e-6,true
32,4,3.2105493772501384e-6,true
33,3,2.407912032937604e-6,true
34,4,3.2105493772501384e-6,true
35,4,3.2105493772501384e-6,true
36,5,4.013186721562673e-6,true
37,3,2.407912032937604e-6,true
40,11,8.829010787437881e-6,true
41,6,4.815824065875208e-6,true
42,3,2.407912032937604e-6,true
43,1,8.026373443125346e-7,true
44,1,8.026373443125346e-7,true
45,2,1.6052746886250692e-6,true
46,6,4.815824065875208e-6,true
47,1,8.026373443125346e-7,true
49,1,8.026373443125346e-7,true
50,4,3.2105493772501384e-6,true
51,1,8.026373443125346e-7,true
52,1,8.026373443125346e-7,true
53,2,1.6052746886250692e-6,true
54,3,2.407912032937604e-6,true
55,1,8.026373443125346e-7,true
56,2,1.6052746886250692e-6,true
58,2,1.6052746886250692e-6,true
59,4,3.2105493772501384e-6,true
60,2,1.6052746886250692e-6,true
63,2,1.6052746886250692e-6,true
64,1,8.026373443125346e-7,true
65,1,8.026373443125346e-7,true
67,1,8.026373443125346e-7,true
68,2,1.6052746886250692e-6,true
69,2,1.6052746886250692e-6,true
70,3,2.407912032937604e-6,true
71,1,8.026373443125346e-7,true
72,1,8.026373443125346e-7,true
73,1,8.026373443125346e-7,true
74,2,1.6052746886250692e-6,true
75,3,2.407912032937604e-6,true
76,2,1.6052746886250692e-6,true
77,3,2.407912032937604e-6,true
78,2,1.6052746886250692e-6,true
