atom_count,record_count,percent_of_profiled_records,contains_target
0,124544944,99.96442309971336,false
1,34444,0.027646040687500945,true
2,4294,0.0034465247564780237,true
3,1611,0.0012930487616874932,true
4,956,0.0007673213011627831,true
5,448,0.0003595815302520155,true
6,538,0.0004318188912401436,true
7,197,0.00015811955682956932,true
8,223,0.00017898812778169523,true
9,172,0.00013805362322175596,true
10,225,0.0001805934024703203,true
11,139,0.00011156659085944231,true
12,291,0.00023356746719494756,true
13,36,0.00002889494439525125,true
14,43,0.00003451340580543899,true
15,57,0.000045750328625814475,true
16,49,0.0000393292298713142,true
17,44,0.000035316043149751525,true
18,82,0.00006581626223362783,true
19,16,0.000012842197509000554,true
20,26,0.0000208685709521259,true
21,32,0.000025684395018001108,true
22,10,8.026373443125347e-6,true
23,10,8.026373443125347e-6,true
24,28,0.00002247384564075097,true
25,10,8.026373443125347e-6,true
26,5,4.013186721562673e-6,true
27,13,0.00001043428547606295,true
28,8,6.421098754500277e-6,true
29,5,4.013186721562673e-6,true
30,16,0.000012842197509000554,true
31,11,8.829010787437881e-6,true
32,7,5.618461410187742e-6,true
33,5,4.013186721562673e-6,true
34,4,3.2105493772501384e-6,true
35,6,4.815824065875208e-6,true
36,9,7.223736098812812e-6,true
37,3,2.407912032937604e-6,true
38,6,4.815824065875208e-6,true
39,4,3.2105493772501384e-6,true
40,4,3.2105493772501384e-6,true
41,6,4.815824065875208e-6,true
42,15,0.00001203956016468802,true
43,6,4.815824065875208e-6,true
44,3,2.407912032937604e-6,true
45,8,6.421098754500277e-6,true
46,5,4.013186721562673e-6,true
47,3,2.407912032937604e-6,true
48,4,3.2105493772501384e-6,true
49,2,1.6052746886250692e-6,true
50,2,1.6052746886250692e-6,true
51,3,2.407912032937604e-6,true
52,4,3.2105493772501384e-6,true
53,2,1.6052746886250692e-6,true
54,2,1.6052746886250692e-6,true
55,3,2.407912032937604e-6,true
56,4,3.2105493772501384e-6,true
57,4,3.2105493772501384e-6,true
58,1,8.026373443125346e-7,true
59,3,2.407912032937604e-6,true
60,2,1.6052746886250692e-6,true
61,1,8.026373443125346e-7,true
62,2,1.6052746886250692e-6,true
63,2,1.6052746886250692e-6,true
64,2,1.6052746886250692e-6,true
65,3,2.407912032937604e-6,true
66,3,2.407912032937604e-6,true
68,1,8.026373443125346e-7,true
70,3,2.407912032937604e-6,true
72,12,9.631648131750416e-6,true
73,1,8.026373443125346e-7,true
74,2,1.6052746886250692e-6,true
77,2,1.6052746886250692e-6,true
78,1,8.026373443125346e-7,true
80,1,8.026373443125346e-7,true
82,3,2.407912032937604e-6,true
83,4,3.2105493772501384e-6,true
84,4,3.2105493772501384e-6,true
85,2,1.6052746886250692e-6,true
86,2,1.6052746886250692e-6,true
87,1,8.026373443125346e-7,true
90,2,1.6052746886250692e-6,true
93,1,8.026373443125346e-7,true
99,1,8.026373443125346e-7,true
100,2,1.6052746886250692e-6,true
102,1,8.026373443125346e-7,true
104,1,8.026373443125346e-7,true
107,1,8.026373443125346e-7,true
109,3,2.407912032937604e-6,true
116,4,3.2105493772501384e-6,true
117,1,8.026373443125346e-7,true
119,1,8.026373443125346e-7,true
120,1,8.026373443125346e-7,true
125,3,2.407912032937604e-6,true
126,1,8.026373443125346e-7,true
131,1,8.026373443125346e-7,true
133,1,8.026373443125346e-7,true
136,2,1.6052746886250692e-6,true
137,2,1.6052746886250692e-6,true
138,4,3.2105493772501384e-6,true
139,3,2.407912032937604e-6,true
143,1,8.026373443125346e-7,true
146,1,8.026373443125346e-7,true
157,1,8.026373443125346e-7,true
160,1,8.026373443125346e-7,true
161,1,8.026373443125346e-7,true
164,2,1.6052746886250692e-6,true
165,1,8.026373443125346e-7,true
167,1,8.026373443125346e-7,true
169,1,8.026373443125346e-7,true
170,2,1.6052746886250692e-6,true
173,1,8.026373443125346e-7,true
175,1,8.026373443125346e-7,true
176,1,8.026373443125346e-7,true
181,1,8.026373443125346e-7,true
183,1,8.026373443125346e-7,true
185,1,8.026373443125346e-7,true
192,1,8.026373443125346e-7,true
194,1,8.026373443125346e-7,true
197,1,8.026373443125346e-7,true
198,1,8.026373443125346e-7,true
200,1,8.026373443125346e-7,true
204,2,1.6052746886250692e-6,true
208,2,1.6052746886250692e-6,true
210,1,8.026373443125346e-7,true
211,1,8.026373443125346e-7,true
212,1,8.026373443125346e-7,true
213,1,8.026373443125346e-7,true
215,1,8.026373443125346e-7,true
216,1,8.026373443125346e-7,true
220,1,8.026373443125346e-7,true
222,1,8.026373443125346e-7,true
223,5,4.013186721562673e-6,true
224,1,8.026373443125346e-7,true
225,1,8.026373443125346e-7,true
226,2,1.6052746886250692e-6,true
227,1,8.026373443125346e-7,true
237,1,8.026373443125346e-7,true
241,5,4.013186721562673e-6,true
245,1,8.026373443125346e-7,true
246,1,8.026373443125346e-7,true
247,1,8.026373443125346e-7,true
260,1,8.026373443125346e-7,true
268,1,8.026373443125346e-7,true
316,1,8.026373443125346e-7,true
354,1,8.026373443125346e-7,true
375,1,8.026373443125346e-7,true
427,1,8.026373443125346e-7,true
449,1,8.026373443125346e-7,true
450,1,8.026373443125346e-7,true
486,2,1.6052746886250692e-6,true
487,1,8.026373443125346e-7,true
525,1,8.026373443125346e-7,true
530,1,8.026373443125346e-7,true
574,1,8.026373443125346e-7,true
