atom_count,record_count,percent_of_profiled_records,contains_target
0,124491073,99.92118422333789,false
1,72169,0.057925534501691314,true
2,10905,0.00875276023972819,true
3,4323,0.003469801239463087,true
4,2586,0.0020756201723922145,true
5,1392,0.0011172711832830482,true
6,1697,0.0013620755732983714,true
7,701,0.0005626487783630868,true
8,574,0.0004607138356353949,true
9,369,0.0002961731800513253,true
10,459,0.00036841054103945337,true
11,241,0.00019343559997932086,true
12,257,0.00020627779748832138,true
13,119,0.00009551384397319163,true
14,135,0.00010835604148219218,true
15,161,0.00012922461243431807,true
16,148,0.00011879032695825514,true
17,41,0.000032908131116813916,true
18,110,0.00008829010787437882,true
19,39,0.00003130285642818885,true
20,86,0.00006902681161087798,true
21,108,0.00008668483318575375,true
22,65,0.00005217142738031476,true
23,51,0.000040934504559939265,true
24,77,0.00006180307551206517,true
25,42,0.00003371076846112645,true
26,35,0.00002809230705093871,true
27,29,0.000023276482985063506,true
28,47,0.00003772395518268913,true
29,18,0.000014447472197625624,true
30,57,0.000045750328625814475,true
31,70,0.00005618461410187742,true
32,27,0.000021671208296438437,true
33,45,0.00003611868049406406,true
34,23,0.0000184606589191883,true
35,23,0.0000184606589191883,true
36,40,0.00003210549377250139,true
37,9,7.223736098812812e-6,true
38,9,7.223736098812812e-6,true
39,11,8.829010787437881e-6,true
40,10,8.026373443125347e-6,true
41,30,0.00002407912032937604,true
42,17,0.00001364483485331309,true
43,12,9.631648131750416e-6,true
44,30,0.00002407912032937604,true
45,12,9.631648131750416e-6,true
46,9,7.223736098812812e-6,true
47,9,7.223736098812812e-6,true
48,12,9.631648131750416e-6,true
49,5,4.013186721562673e-6,true
50,17,0.00001364483485331309,true
51,17,0.00001364483485331309,true
52,6,4.815824065875208e-6,true
53,7,5.618461410187742e-6,true
54,5,4.013186721562673e-6,true
55,28,0.00002247384564075097,true
56,4,3.2105493772501384e-6,true
57,6,4.815824065875208e-6,true
58,7,5.618461410187742e-6,true
59,5,4.013186721562673e-6,true
60,10,8.026373443125347e-6,true
61,7,5.618461410187742e-6,true
62,30,0.00002407912032937604,true
63,22,0.000017658021574875762,true
64,15,0.00001203956016468802,true
65,4,3.2105493772501384e-6,true
66,18,0.000014447472197625624,true
67,2,1.6052746886250692e-6,true
68,12,9.631648131750416e-6,true
69,7,5.618461410187742e-6,true
70,5,4.013186721562673e-6,true
71,5,4.013186721562673e-6,true
72,13,0.00001043428547606295,true
73,2,1.6052746886250692e-6,true
74,5,4.013186721562673e-6,true
75,3,2.407912032937604e-6,true
76,4,3.2105493772501384e-6,true
77,5,4.013186721562673e-6,true
78,2,1.6052746886250692e-6,true
79,7,5.618461410187742e-6,true
80,8,6.421098754500277e-6,true
81,17,0.00001364483485331309,true
82,5,4.013186721562673e-6,true
83,12,9.631648131750416e-6,true
84,9,7.223736098812812e-6,true
85,9,7.223736098812812e-6,true
86,1,8.026373443125346e-7,true
87,4,3.2105493772501384e-6,true
88,2,1.6052746886250692e-6,true
89,1,8.026373443125346e-7,true
90,2,1.6052746886250692e-6,true
91,4,3.2105493772501384e-6,true
92,3,2.407912032937604e-6,true
93,24,0.00001926329626350083,true
95,1,8.026373443125346e-7,true
96,1,8.026373443125346e-7,true
97,2,1.6052746886250692e-6,true
98,4,3.2105493772501384e-6,true
99,7,5.618461410187742e-6,true
100,1,8.026373443125346e-7,true
102,2,1.6052746886250692e-6,true
103,2,1.6052746886250692e-6,true
104,1,8.026373443125346e-7,true
105,6,4.815824065875208e-6,true
109,4,3.2105493772501384e-6,true
110,4,3.2105493772501384e-6,true
112,1,8.026373443125346e-7,true
115,1,8.026373443125346e-7,true
116,6,4.815824065875208e-6,true
117,1,8.026373443125346e-7,true
118,2,1.6052746886250692e-6,true
119,2,1.6052746886250692e-6,true
120,3,2.407912032937604e-6,true
121,2,1.6052746886250692e-6,true
123,1,8.026373443125346e-7,true
124,35,0.00002809230705093871,true
125,2,1.6052746886250692e-6,true
127,1,8.026373443125346e-7,true
128,1,8.026373443125346e-7,true
130,1,8.026373443125346e-7,true
131,1,8.026373443125346e-7,true
132,3,2.407912032937604e-6,true
133,10,8.026373443125347e-6,true
134,1,8.026373443125346e-7,true
135,1,8.026373443125346e-7,true
136,1,8.026373443125346e-7,true
137,2,1.6052746886250692e-6,true
138,8,6.421098754500277e-6,true
139,1,8.026373443125346e-7,true
140,1,8.026373443125346e-7,true
141,1,8.026373443125346e-7,true
142,2,1.6052746886250692e-6,true
143,4,3.2105493772501384e-6,true
145,3,2.407912032937604e-6,true
147,3,2.407912032937604e-6,true
148,1,8.026373443125346e-7,true
149,1,8.026373443125346e-7,true
152,1,8.026373443125346e-7,true
153,3,2.407912032937604e-6,true
154,1,8.026373443125346e-7,true
155,14,0.000011236922820375485,true
156,3,2.407912032937604e-6,true
158,1,8.026373443125346e-7,true
159,2,1.6052746886250692e-6,true
162,1,8.026373443125346e-7,true
163,2,1.6052746886250692e-6,true
164,1,8.026373443125346e-7,true
165,4,3.2105493772501384e-6,true
166,1,8.026373443125346e-7,true
167,2,1.6052746886250692e-6,true
168,2,1.6052746886250692e-6,true
170,2,1.6052746886250692e-6,true
171,1,8.026373443125346e-7,true
178,2,1.6052746886250692e-6,true
179,2,1.6052746886250692e-6,true
180,1,8.026373443125346e-7,true
181,1,8.026373443125346e-7,true
182,1,8.026373443125346e-7,true
183,3,2.407912032937604e-6,true
184,3,2.407912032937604e-6,true
185,4,3.2105493772501384e-6,true
186,20,0.000016052746886250693,true
188,1,8.026373443125346e-7,true
189,1,8.026373443125346e-7,true
191,1,8.026373443125346e-7,true
193,1,8.026373443125346e-7,true
196,2,1.6052746886250692e-6,true
197,2,1.6052746886250692e-6,true
201,6,4.815824065875208e-6,true
202,2,1.6052746886250692e-6,true
203,1,8.026373443125346e-7,true
204,5,4.013186721562673e-6,true
205,2,1.6052746886250692e-6,true
206,1,8.026373443125346e-7,true
207,1,8.026373443125346e-7,true
208,1,8.026373443125346e-7,true
209,2,1.6052746886250692e-6,true
210,2,1.6052746886250692e-6,true
211,1,8.026373443125346e-7,true
212,4,3.2105493772501384e-6,true
213,8,6.421098754500277e-6,true
214,1,8.026373443125346e-7,true
215,1,8.026373443125346e-7,true
216,2,1.6052746886250692e-6,true
217,8,6.421098754500277e-6,true
218,3,2.407912032937604e-6,true
220,1,8.026373443125346e-7,true
222,1,8.026373443125346e-7,true
224,1,8.026373443125346e-7,true
226,1,8.026373443125346e-7,true
227,1,8.026373443125346e-7,true
229,1,8.026373443125346e-7,true
230,2,1.6052746886250692e-6,true
231,1,8.026373443125346e-7,true
232,2,1.6052746886250692e-6,true
238,1,8.026373443125346e-7,true
241,1,8.026373443125346e-7,true
244,3,2.407912032937604e-6,true
245,1,8.026373443125346e-7,true
246,1,8.026373443125346e-7,true
247,1,8.026373443125346e-7,true
248,2,1.6052746886250692e-6,true
250,2,1.6052746886250692e-6,true
254,1,8.026373443125346e-7,true
255,1,8.026373443125346e-7,true
265,1,8.026373443125346e-7,true
275,1,8.026373443125346e-7,true
276,1,8.026373443125346e-7,true
279,1,8.026373443125346e-7,true
282,1,8.026373443125346e-7,true
284,1,8.026373443125346e-7,true
288,1,8.026373443125346e-7,true
294,1,8.026373443125346e-7,true
