atom_count,record_count,percent_of_formula_records,contains_target
0,123851445,99.93873185708536,false
1,67020,0.054080061876241016,true
2,5307,0.004282346887156238,true
3,1868,0.0015073344611282932,true
4,868,0.0007004102314022262,true
5,314,0.00025337420813398504,true
6,214,0.00017268178516137835,true
7,54,0.00004357390840520762,true
8,82,0.0000661677868375375,true
9,32,0.000025821575351234146,true
10,24,0.000019366181513425608,true
11,13,0.000010490014986438873,true
12,28,0.000022593878432329876,true
14,1,8.069242297260671e-7,true
15,9,7.2623180675346035e-6,true
16,6,4.841545378356402e-6,true
17,1,8.069242297260671e-7,true
18,1,8.069242297260671e-7,true
19,3,2.420772689178201e-6,true
20,7,5.648469608082469e-6,true
21,3,2.420772689178201e-6,true
22,4,3.2276969189042683e-6,true
23,1,8.069242297260671e-7,true
24,2,1.6138484594521342e-6,true
25,4,3.2276969189042683e-6,true
26,5,4.034621148630335e-6,true
27,3,2.420772689178201e-6,true
28,2,1.6138484594521342e-6,true
29,1,8.069242297260671e-7,true
30,4,3.2276969189042683e-6,true
32,1,8.069242297260671e-7,true
34,1,8.069242297260671e-7,true
35,1,8.069242297260671e-7,true
36,4,3.2276969189042683e-6,true
37,1,8.069242297260671e-7,true
39,1,8.069242297260671e-7,true
40,1,8.069242297260671e-7,true
43,1,8.069242297260671e-7,true
44,2,1.6138484594521342e-6,true
46,1,8.069242297260671e-7,true
47,1,8.069242297260671e-7,true
49,2,1.6138484594521342e-6,true
50,2,1.6138484594521342e-6,true
51,4,3.2276969189042683e-6,true
54,1,8.069242297260671e-7,true
60,1,8.069242297260671e-7,true
62,2,1.6138484594521342e-6,true
64,3,2.420772689178201e-6,true
68,1,8.069242297260671e-7,true
74,1,8.069242297260671e-7,true
76,1,8.069242297260671e-7,true
79,1,8.069242297260671e-7,true
85,2,1.6138484594521342e-6,true
93,1,8.069242297260671e-7,true
94,1,8.069242297260671e-7,true
99,2,1.6138484594521342e-6,true
100,7,5.648469608082469e-6,true
