atom_count,record_count,percent_of_profiled_records,contains_target
0,124482610,99.91439150349296,false
1,98804,0.07930378016745568,true
2,5144,0.004128766499143678,true
3,1107,0.0008885195401539759,true
4,625,0.0005016483401953342,true
5,333,0.00026727823565607405,true
6,310,0.00024881757673688576,true
7,98,0.0000786584597426284,true
8,98,0.0000786584597426284,true
9,34,0.00002728966970662618,true
10,49,0.0000393292298713142,true
11,8,6.421098754500277e-6,true
12,25,0.000020065933607813364,true
13,4,3.2105493772501384e-6,true
14,7,5.618461410187742e-6,true
15,2,1.6052746886250692e-6,true
16,1,8.026373443125346e-7,true
17,2,1.6052746886250692e-6,true
20,1,8.026373443125346e-7,true
21,1,8.026373443125346e-7,true
27,2,1.6052746886250692e-6,true
30,1,8.026373443125346e-7,true
50,1,8.026373443125346e-7,true
70,1,8.026373443125346e-7,true
500,1,8.026373443125346e-7,true
