row_element,column_element,cooccurrence_count,row_element_count,conditional_probability
Al,Al,3,3,1.0
Al,As,0,3,0.0
Al,B,0,3,0.0
Al,Ba,0,3,0.0
Al,Br,0,3,0.0
Al,C,2,3,0.6666666666666666
Al,Ca,0,3,0.0
Al,Cd,0,3,0.0
Al,Cl,0,3,0.0
Al,Co,0,3,0.0
Al,Cr,0,3,0.0
Al,Cu,0,3,0.0
Al,F,0,3,0.0
Al,Fe,0,3,0.0
Al,Ge,0,3,0.0
Al,H,2,3,0.6666666666666666
Al,He,0,3,0.0
Al,I,0,3,0.0
Al,K,0,3,0.0
Al,Mg,0,3,0.0
Al,Mn,0,3,0.0
Al,N,2,3,0.6666666666666666
Al,Na,0,3,0.0
Al,Ni,0,3,0.0
Al,O,2,3,0.6666666666666666
Al,P,0,3,0.0
Al,Pa,0,3,0.0
Al,Pb,0,3,0.0
Al,Pt,0,3,0.0
Al,S,0,3,0.0
Al,Se,0,3,0.0
Al,Si,0,3,0.0
Al,Sr,0,3,0.0
Al,Tb,0,3,0.0
Al,Tc,0,3,0.0
Al,Te,0,3,0.0
Al,Th,0,3,0.0
Al,V,0,3,0.0
Al,Zn,0,3,0.0
As,Al,0,87,0.0
As,As,87,87,1.0
As,B,0,87,0.0
As,Ba,0,87,0.0
As,Br,0,87,0.0
As,C,68,87,0.7816091954022989
As,Ca,0,87,0.0
As,Cd,0,87,0.0
As,Cl,0,87,0.0
As,Co,0,87,0.0
As,Cr,0,87,0.0
As,Cu,0,87,0.0
As,F,0,87,0.0
As,Fe,0,87,0.0
As,Ge,0,87,0.0
As,H,84,87,0.9655172413793104
As,He,0,87,0.0
As,I,0,87,0.0
As,K,0,87,0.0
As,Mg,0,87,0.0
As,Mn,0,87,0.0
As,N,9,87,0.10344827586206896
As,Na,0,87,0.0
As,Ni,0,87,0.0
As,O,80,87,0.9195402298850575
As,P,2,87,0.022988505747126436
As,Pa,0,87,0.0
As,Pb,0,87,0.0
As,Pt,0,87,0.0
As,S,13,87,0.14942528735632185
As,Se,0,87,0.0
As,Si,0,87,0.0
As,Sr,0,87,0.0
As,Tb,0,87,0.0
As,Tc,0,87,0.0
As,Te,0,87,0.0
As,Th,0,87,0.0
As,V,0,87,0.0
As,Zn,0,87,0.0
B,Al,0,16,0.0
B,As,0,16,0.0
B,B,16,16,1.0
B,Ba,0,16,0.0
B,Br,0,16,0.0
B,C,13,16,0.8125
B,Ca,0,16,0.0
B,Cd,0,16,0.0
B,Cl,0,16,0.0
B,Co,0,16,0.0
B,Cr,0,16,0.0
B,Cu,0,16,0.0
B,F,0,16,0.0
B,Fe,0,16,0.0
B,Ge,0,16,0.0
B,H,16,16,1.0
B,He,0,16,0.0
B,I,0,16,0.0
B,K,0,16,0.0
B,Mg,0,16,0.0
B,Mn,0,16,0.0
B,N,4,16,0.25
B,Na,0,16,0.0
B,Ni,0,16,0.0
