element,count,percent_of_records
H,546233,99.9546187333137
C,546148,99.93906467013491
O,506021,92.59626592690321
N,109142,19.971783099503917
S,11514,2.106935099298969
Cl,7183,1.3144098330957528
Br,5084,0.9303159670693034
P,2560,0.4684517851489805
F,319,0.05837348416504874
I,169,0.030925137378975665
As,87,0.015920041135922384
Si,71,0.012992217478741255
Mg,46,0.008417493014395743
Se,41,0.00750254812152664
K,33,0.0060386362929360764
Ca,30,0.0054896693572146155
Cr,29,0.005306680378640794
Fe,23,0.0042087465071978716
Na,23,0.0042087465071978716
B,16,0.002927823657181128
He,11,0.0020128787643120256
Co,9,0.0016469008071643846
Cu,9,0.0016469008071643846
Zn,9,0.0016469008071643846
Ge,6,0.001097933871442923
Mn,5,0.0009149448928691025
Ni,5,0.0009149448928691025
Al,3,0.0005489669357214615
Pb,2,0.000365977957147641
Sr,2,0.000365977957147641
V,2,0.000365977957147641
Ba,1,0.0001829889785738205
Cd,1,0.0001829889785738205
Pa,1,0.0001829889785738205
Pt,1,0.0001829889785738205
Tb,1,0.0001829889785738205
Tc,1,0.0001829889785738205
Te,1,0.0001829889785738205
Th,1,0.0001829889785738205
