value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
http://www.wikidata.org/entity/Q1000854,205,0,205,0.0,0.0375127406076332,0.0,NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q1001080,3,0,3,0.0,0.0005489669357214615,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q100136472,5,0,5,0.0,0.0009149448928691025,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q100145603,2,0,2,0.0,0.000365977957147641,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q1002397,15,0,15,0.0,0.0027448346786073077,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q1002550,11,0,11,0.0,0.0020128787643120256,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q1002860,4,0,4,0.0,0.000731955914295282,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q100487139,30,0,30,0.0,0.0054896693572146155,0.0,NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q100487332,2,0,2,0.0,0.000365977957147641,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q100503246,1,0,1,0.0,0.0001829889785738205,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q100503435,16,0,16,0.0,0.002927823657181128,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q1005204,10,0,10,0.0,0.001829889785738205,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q1006867,32,0,32,0.0,0.005855647314362256,0.0,NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q1007442,8,0,8,0.0,0.001463911828590564,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q1009478,2,0,2,0.0,0.000365977957147641,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q1009889,5,0,5,0.0,0.0009149448928691025,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q1009995,7,0,7,0.0,0.0012809228500167435,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
http://www.wikidata.org/entity/Q1010050,2,0,2,0.0,0.000365977957147641,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
