value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Aaptos,1,1,0,100.0,0.0001829889785738205,0.0009162375620750949,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aaptos aaptos,14,10,4,71.42857142857143,0.002561845700033487,0.009162375620750948,LOW_TOTAL_SUPPORT
Aaptos ciliata,6,6,0,100.0,0.001097933871442923,0.005497425372450569,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aaptos suberitoides,10,10,0,100.0,0.001829889785738205,0.009162375620750948,LOW_TOTAL_SUPPORT
Abedus herberti,3,0,3,0.0,0.0005489669357214615,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abelia,1,0,1,0.0,0.0001829889785738205,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abelia chinensis,12,0,12,0.0,0.002195867742885846,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abeliophyllum distichum,20,0,20,0.0,0.00365977957147641,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abelmoschus,4,0,4,0.0,0.000731955914295282,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abelmoschus esculentus,37,1,36,2.7027027027027026,0.006770592207231358,0.0009162375620750949,LOW_TARGET_SUPPORT
Abelmoschus ficulneus,6,0,6,0.0,0.001097933871442923,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abelmoschus manihot,4,0,4,0.0,0.000731955914295282,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abelmoschus moschatus,3,0,3,0.0,0.0005489669357214615,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abies,9,0,9,0.0,0.0016469008071643846,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abies alba,56,0,56,0.0,0.010247382800133948,0.0,NO_TARGET_POSITIVES
Abies amabilis,9,0,9,0.0,0.0016469008071643846,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abies balsamea,57,26,31,45.614035087719294,0.010430371778707767,0.023822176613952466,
Abies chensiensis,45,3,42,6.666666666666667,0.008234504035821922,0.0027487126862252844,LOW_TARGET_SUPPORT
Abies cilicica,6,0,6,0.0,0.001097933871442923,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abies concolor,3,0,3,0.0,0.0005489669357214615,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abies delavayi,2,0,2,0.0,0.000365977957147641,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
