atom_count,record_count,percent_of_profiled_records,contains_target
0,437339,80.02821690049609,false
1,54508,9.974363244101808,true
2,29751,5.4441051015497335,true
3,6318,1.1561243666293979,true
4,5927,1.0845756760070342,true
5,3498,0.6400954470512241,true
6,1640,0.3001019248610656,true
7,1714,0.31364310927552835,true
8,1272,0.23276198074589968,true
9,787,0.14401232613759674,true
10,922,0.1687158382450625,true
11,493,0.0902135664368935,true
12,511,0.09350736805122228,true
13,315,0.05764152825075346,true
14,294,0.05379875970070322,true
15,169,0.030925137378975665,true
16,162,0.029644214528958924,true
17,107,0.019579820707398794,true
18,97,0.01774993092166059,true
19,93,0.017017975007365307,true
20,107,0.019579820707398794,true
21,56,0.010247382800133948,true
22,57,0.010430371778707767,true
23,107,0.019579820707398794,true
24,23,0.0042087465071978716,true
25,29,0.005306680378640794,true
26,19,0.0034767905929025894,true
27,12,0.002195867742885846,true
28,2,0.000365977957147641,true
29,11,0.0020128787643120256,true
30,4,0.000731955914295282,true
31,12,0.002195867742885846,true
32,5,0.0009149448928691025,true
33,9,0.0016469008071643846,true
34,4,0.000731955914295282,true
35,9,0.0016469008071643846,true
36,18,0.003293801614328769,true
37,10,0.001829889785738205,true
38,16,0.002927823657181128,true
39,3,0.0005489669357214615,true
40,2,0.000365977957147641,true
41,4,0.000731955914295282,true
42,4,0.000731955914295282,true
43,1,0.0001829889785738205,true
44,1,0.0001829889785738205,true
45,2,0.000365977957147641,true
47,1,0.0001829889785738205,true
48,2,0.000365977957147641,true
50,3,0.0005489669357214615,true
52,1,0.0001829889785738205,true
53,6,0.001097933871442923,true
55,3,0.0005489669357214615,true
56,1,0.0001829889785738205,true
57,4,0.000731955914295282,true
59,1,0.0001829889785738205,true
60,4,0.000731955914295282,true
61,4,0.000731955914295282,true
64,1,0.0001829889785738205,true
71,1,0.0001829889785738205,true
73,1,0.0001829889785738205,true
85,1,0.0001829889785738205,true
88,1,0.0001829889785738205,true
90,1,0.0001829889785738205,true
96,1,0.0001829889785738205,true
